customer_id,segment,region,acquisition_channel,plan_type,tenure_days,current_mrr,avg_monthly_revenue,lifetime_revenue,recent_sessions_30d,recent_sessions_90d,usage_trend,feature_adoption_score_recent,support_tickets_30d,support_tickets_90d,nps_score_recent,failed_payments_90d,payment_failure_flag,renewal_near_flag,contraction_flag,churn_flag,at_risk_flag
C000053,Startup,LATAM,Organic,Pro,965,516.06,515.57,15982.61,63,186,1.0,76.43,0,0,34.5,0,0,1,0,0,1
C000054,Mid-Market,North America,Organic,Growth,810,161.33,161.92,4371.74,161,494,-1.25,81.0375,1,5,20.6923,0,0,1,0,0,0
C000055,Mid-Market,North America,Outbound,Pro,761,500.85,501.19,12028.61,87,296,1.0,91.1075,3,5,38.7692,0,0,1,0,0,0
C000056,Mid-Market,Europe,Paid Search,Growth,1380,0.0,126.61,5697.33,0,44,0.0,0.0,0,3,-2.0,0,0,0,0,1,0
C000057,Startup,APAC,Organic,Basic,632,0.0,44.0,835.96,0,10,-2.0,0.0,0,5,-18.0,0,0,0,0,1,0
C000058,SMB,North America,Affiliate,Pro,1278,463.28,469.06,22514.81,80,278,-1.75,78.6025,0,4,38.6154,0,0,0,0,0,0
C000059,SMB,North America,Outbound,Growth,378,0.0,71.43,785.76,14,71,-0.3333,39.5867,3,18,-6.25,2,1,0,0,1,0
C000060,Startup,North America,Affiliate,Basic,435,0.0,107.77,2586.59,0,37,-5.6667,0.0,0,10,-23.8571,0,0,0,1,1,0
C000061,SMB,Europe,Affiliate,Pro,110,1140.0,1143.64,4574.57,106,366,-1.25,77.8675,0,4,27.8462,0,0,1,0,0,1
C000062,SMB,North America,Outbound,Growth,360,0.0,171.06,1710.56,0,23,-2.0,0.0,0,23,-14.6667,2,1,0,1,1,0
C000063,Mid-Market,North America,Paid Search,Growth,924,0.0,209.08,6481.47,0,23,-3.0,0.0,0,11,-1.0,0,0,0,0,1,0
C000064,SMB,Europe,Outbound,Growth,42,246.56,251.54,503.07,73,99,1.6,67.338,2,3,31.8571,0,0,1,0,0,0
C000065,Mid-Market,North America,Outbound,Pro,896,263.71,261.21,7836.19,126,295,4.95,84.642,0,2,42.4615,0,0,1,0,0,0
C000066,SMB,Europe,Referral,Growth,1018,231.94,231.91,7653.09,59,199,-1.05,63.18,1,4,28.0769,0,0,1,0,0,0
C000067,Mid-Market,North America,Outbound,Pro,135,384.57,384.47,1922.33,150,426,5.7,95.545,2,5,32.3846,0,0,1,0,0,0
C000068,SMB,APAC,Affiliate,Growth,954,400.0,400.27,12808.77,35,122,-0.25,64.21,1,5,20.6923,0,0,1,0,0,0
C000069,SMB,Europe,Affiliate,Growth,1402,148.39,149.0,7003.05,51,168,-0.85,61.48,1,8,20.6923,0,0,1,0,0,0
C000070,Mid-Market,North America,Outbound,Pro,800,673.62,683.48,24605.22,137,456,0.25,91.52,3,4,30.3077,0,0,0,0,0,0
C000071,Enterprise,North America,Partner,Pro,301,426.79,424.02,5088.24,135,318,4.5,89.134,1,6,33.5385,0,0,0,0,0,0
C000072,SMB,Europe,Partner,Growth,1214,0.0,383.05,14939.13,9,52,0.25,40.345,4,20,-10.2,1,1,0,0,1,0
C000073,SMB,APAC,Paid Search,Basic,720,0.0,43.55,1001.67,0,0,0.0,0.0,0,0,0.0,0,0,0,1,1,0
C000074,Mid-Market,North America,Affiliate,Growth,1309,254.99,251.71,12082.19,47,123,0.15,62.412,1,2,22.9231,0,0,0,0,0,0
C000075,Mid-Market,North America,Outbound,Growth,398,0.0,201.57,2418.79,0,15,0.0,0.0,0,1,-14.5,0,0,0,0,1,0
C000076,Startup,North America,Affiliate,Basic,793,65.97,65.76,1709.84,18,61,-0.3,38.87,0,2,12.9231,0,0,1,0,0,1
C000077,SMB,Europe,Affiliate,Growth,1008,175.35,174.39,5754.87,62,167,-0.85,58.074,2,5,32.7692,0,0,1,0,0,0
C000078,SMB,APAC,Outbound,Basic,1005,0.0,40.53,1337.65,0,0,0.0,0.0,0,0,0.0,0,0,0,1,1,0
C000079,Enterprise,Europe,Organic,Pro,657,155.26,158.44,3802.67,117,389,-5.5,89.4175,0,1,36.25,0,0,0,0,0,0
C000080,SMB,North America,Outbound,Growth,491,245.9,249.94,5998.6,79,199,-3.2,58.05,1,3,18.8462,0,0,0,1,0,0
C000081,SMB,LATAM,Organic,Basic,91,44.14,44.22,176.86,66,160,1.2,43.784,2,5,10.6154,0,0,1,0,0,1
C000082,Enterprise,LATAM,Partner,Enterprise,846,2663.8,2665.09,95943.29,205,584,5.25,97.9075,2,5,44.0,0,0,0,1,0,0
C000083,SMB,North America,Organic,Growth,1271,184.17,185.79,7617.36,43,131,2.5,52.8525,3,6,26.8462,0,0,1,0,0,0
C000084,SMB,North America,Paid Search,Basic,187,0.0,92.14,460.71,0,15,0.0,0.0,0,7,-13.2,1,1,0,0,1,0
C000085,SMB,North America,Partner,Basic,553,78.9,78.29,1487.45,45,107,1.0,40.402,1,5,13.5385,0,0,1,0,0,0
C000086,Startup,LATAM,Organic,Basic,381,0.0,19.91,219.03,0,10,0.0,0.0,0,4,-28.5,1,1,0,1,1,0
C000087,Startup,Europe,Paid Search,Basic,1348,0.0,72.31,3181.79,3,32,0.75,0.0,1,14,-17.7778,1,1,0,0,1,0
C000088,SMB,Europe,Affiliate,Growth,1034,0.0,138.67,4160.21,13,44,1.5833,46.5033,4,18,-12.1818,1,1,0,1,1,0
C000089,Mid-Market,LATAM,Organic,Pro,340,750.34,759.19,9110.27,37,158,-3.5,75.8525,1,7,31.2308,0,0,1,0,0,1
C000090,Mid-Market,North America,Paid Search,Pro,250,589.65,590.05,5310.45,184,575,4.75,90.8675,1,4,33.4615,0,0,1,0,0,0
C000091,Startup,North America,Organic,Basic,847,72.14,72.37,2605.28,23,82,-2.9,34.274,0,1,15.4615,0,0,0,1,0,1
C000092,Mid-Market,North America,Organic,Enterprise,287,1205.31,1187.03,14244.37,169,433,-1.95,97.896,1,2,46.7692,0,0,0,0,0,0
C000093,Startup,APAC,Organic,Basic,153,0.0,36.4,109.2,0,0,0.0,0.0,0,0,-20.0,1,1,0,1,1,0
C000094,Enterprise,Europe,Paid Search,Enterprise,733,0.0,1097.03,26328.82,0,0,0.0,0.0,0,0,0.0,0,0,0,0,1,0
C000095,SMB,North America,Affiliate,Pro,154,216.0,211.55,1269.32,108,282,-1.65,77.904,2,6,35.6154,0,0,1,0,0,0
C000096,Mid-Market,North America,Paid Search,Growth,1072,126.35,126.36,4422.54,94,232,-0.45,64.968,1,4,26.9231,0,0,1,0,0,0
C000097,SMB,LATAM,Affiliate,Basic,1099,0.0,28.4,994.16,0,7,-1.0,0.0,0,8,-21.4,0,0,0,0,1,0
C000098,Mid-Market,LATAM,Paid Search,Growth,483,90.02,88.94,2134.48,100,236,1.5,67.266,0,1,28.3077,0,0,0,1,0,0
C000099,SMB,Europe,Affiliate,Pro,550,483.06,483.5,8703.08,51,185,-4.5,73.815,7,12,37.2308,1,1,1,0,0,0
C000100,Mid-Market,North America,Outbound,Growth,1227,0.0,198.69,7748.96,0,16,0.0,0.0,0,3,-10.3333,0,0,0,0,1,0
C000101,SMB,APAC,Partner,Pro,246,453.9,452.73,4074.55,74,203,-2.7,77.3,3,8,32.4615,0,0,1,0,0,1
C000102,Enterprise,LATAM,Organic,Pro,1207,373.06,372.89,14915.5,103,295,4.95,93.095,1,1,37.0,0,0,1,0,0,0
C000103,SMB,Europe,Organic,Growth,288,109.53,109.12,1091.21,62,173,-1.1,60.508,3,10,15.9231,0,0,1,0,0,1
C000104,Mid-Market,Europe,Paid Search,Pro,1501,402.62,403.08,24184.68,78,245,0.1,81.82,2,5,34.0,0,0,0,0,0,1
C000105,Enterprise,APAC,Partner,Pro,306,325.67,323.83,3562.09,166,506,1.5,88.2975,0,1,35.0769,0,0,1,0,0,0
C000106,Enterprise,APAC,Organic,Pro,318,448.02,453.92,5447.07,106,288,6.1,89.19,0,2,34.4615,0,0,0,0,0,0
C000107,SMB,Europe,Outbound,Pro,326,242.79,244.98,2694.73,165,541,-2.75,87.825,2,5,36.4615,0,0,1,0,0,0
C000108,SMB,Europe,Outbound,Basic,496,75.41,74.98,1199.74,50,128,1.75,40.855,7,11,8.0,0,0,1,0,0,0
C000109,SMB,North America,Referral,Pro,791,362.52,364.36,9837.7,75,190,-1.0,79.68,1,4,36.3077,0,0,1,0,0,0
C000110,SMB,LATAM,Organic,Enterprise,438,1721.87,1694.65,40671.63,167,534,1.5,99.94,1,6,49.7692,0,0,0,0,0,0
C000111,Mid-Market,Europe,Organic,Basic,1087,81.99,81.05,2917.64,110,311,3.9,47.5675,0,2,16.0769,0,0,1,0,0,0
C000112,Enterprise,North America,Partner,Pro,322,527.91,528.51,6342.16,138,330,3.1,86.278,1,3,26.1538,0,0,1,0,0,1
C000113,Enterprise,North America,Outbound,Pro,666,643.46,645.16,12903.27,172,415,4.9,89.054,0,4,33.7692,1,1,1,0,0,0
C000114,SMB,APAC,Paid Search,Growth,620,0.0,69.54,1390.79,0,0,0.0,0.0,0,0,0.0,0,0,0,0,1,0
C000115,Mid-Market,APAC,Organic,Enterprise,751,1067.59,1061.47,28659.82,131,467,-2.85,91.695,1,4,51.0769,0,0,0,0,0,0
C000116,Enterprise,APAC,Partner,Enterprise,656,2568.1,2566.1,56454.12,258,766,9.5,100.0,0,3,44.8462,0,0,1,0,0,0
C000117,Enterprise,Europe,Organic,Enterprise,1458,1852.52,1853.95,87135.57,324,961,7.4,100.0,1,3,40.8462,0,0,1,0,0,0
C000118,SMB,LATAM,Partner,Basic,1308,126.36,126.16,5425.07,47,123,1.75,44.47,1,3,16.5,0,0,1,0,0,0
C000119,SMB,LATAM,Partner,Growth,1142,316.37,315.27,12295.69,56,154,0.95,59.116,6,10,19.8462,0,0,1,0,0,1
C000120,Mid-Market,North America,Paid Search,Growth,1220,0.0,180.09,7203.57,0,0,0.0,0.0,0,0,0.0,0,0,0,1,1,0
C000121,SMB,North America,Paid Search,Pro,838,413.81,408.92,11449.67,106,352,2.0,75.5325,1,5,28.9231,0,0,1,0,0,1
C000122,SMB,APAC,Outbound,Basic,420,0.0,35.82,429.85,0,6,0.0,0.0,0,7,-29.5,0,0,0,1,1,0
C000123,Enterprise,North America,Organic,Growth,526,132.27,130.71,3137.0,119,320,-4.45,69.628,1,3,24.1538,0,0,0,1,0,0
C000124,Enterprise,Europe,Outbound,Basic,795,45.77,45.2,1627.06,53,150,0.0,44.425,0,2,12.7692,0,0,0,0,0,0
C000125,Enterprise,Europe,Organic,Pro,211,358.55,341.9,4102.84,164,411,-1.7,88.948,0,3,36.7692,0,0,0,0,0,0
C000126,Mid-Market,Europe,Referral,Growth,657,110.81,110.55,2653.12,64,186,2.25,62.065,1,2,30.0,0,0,0,0,0,0
C000127,SMB,North America,Outbound,Basic,1387,65.89,65.92,3164.31,37,87,2.15,44.808,2,8,9.3077,0,0,0,0,0,1
C000128,SMB,LATAM,Paid Search,Pro,344,938.06,937.75,11253.01,198,503,1.85,94.324,2,5,34.5385,0,0,1,0,0,0
C000129,SMB,North America,Organic,Pro,633,680.75,678.8,14254.79,73,221,1.25,74.9825,1,5,37.7692,0,0,1,0,0,0
C000130,Mid-Market,LATAM,Partner,Growth,437,0.0,138.17,1934.35,0,0,0.0,0.0,0,0,0.0,0,0,0,1,1,0
C000131,SMB,North America,Affiliate,Pro,655,704.24,708.68,15590.94,85,282,-0.25,84.03,3,9,32.3846,0,0,1,0,0,0
C000132,Mid-Market,Europe,Outbound,Growth,668,183.8,183.93,4046.53,29,111,-3.35,58.755,1,7,17.6154,0,0,1,0,0,0
C000133,SMB,LATAM,Paid Search,Pro,1377,452.2,452.53,21721.62,81,270,-0.75,89.7125,4,8,31.6923,0,0,0,0,0,0
C000134,Mid-Market,North America,Organic,Growth,664,153.53,153.56,3224.66,28,108,-2.75,63.4725,1,8,22.1667,1,1,1,0,0,1
C000135,SMB,North America,Paid Search,Growth,308,147.7,148.51,1782.14,19,52,-0.7,53.848,4,7,23.0769,0,0,0,0,0,0
C000136,SMB,LATAM,Organic,Growth,1052,207.6,207.49,7262.25,53,187,-2.35,57.5225,0,2,24.8462,0,0,1,0,0,1
C000137,Startup,North America,Organic,Basic,565,0.0,60.31,1447.38,0,27,-3.25,0.0,0,11,-22.0,0,0,0,0,1,0
C000138,SMB,North America,Paid Search,Growth,1474,119.56,120.23,5770.84,43,99,2.5,55.9575,3,7,31.8462,0,0,1,0,0,0
C000139,Enterprise,Europe,Outbound,Enterprise,981,913.2,934.27,33633.74,277,663,8.9,100.0,5,5,41.9231,0,0,0,0,0,0
C000140,SMB,APAC,Organic,Growth,750,0.0,181.26,4350.21,0,0,0.0,0.0,0,0,0.0,0,0,0,1,1,0
C000141,SMB,Europe,Affiliate,Basic,25,66.7,62.02,62.02,19,19,4.75,41.4,1,1,13.25,0,0,1,0,0,1
C000142,Mid-Market,North America,Paid Search,Growth,1183,141.16,141.03,5500.14,74,188,-1.7,64.666,1,3,21.7692,0,0,1,0,0,0
C000143,Mid-Market,APAC,Affiliate,Pro,1069,0.0,280.85,10110.57,5,58,-0.75,61.23,0,11,2.7778,0,0,0,0,1,0
C000144,Startup,Europe,Referral,Basic,896,96.57,96.48,2894.55,48,122,0.1,35.626,0,1,12.1538,0,0,1,0,0,1
C000145,SMB,Europe,Partner,Basic,6,87.77,91.81,91.81,18,18,18.0,62.89,2,2,8.0,0,0,1,0,0,0
C000146,SMB,Europe,Organic,Growth,191,0.0,70.68,353.41,8,123,-4.75,36.26,3,10,-8.7778,2,1,0,1,1,0
C000147,Mid-Market,North America,Organic,Growth,1465,273.42,272.6,12812.31,93,295,2.65,67.3725,0,3,26.0769,1,1,1,0,0,0
C000148,SMB,North America,Referral,Growth,1156,147.17,146.08,5697.28,65,178,0.0,56.206,0,5,28.0769,0,0,1,0,0,0
C000149,Startup,Europe,Partner,Basic,263,59.91,60.0,539.97,26,103,-1.75,39.835,2,4,11.7692,0,0,1,0,0,0
C000150,Startup,North America,Organic,Growth,1427,252.26,253.04,11386.95,53,172,-0.25,57.895,1,8,27.3333,0,0,1,0,0,1
C000151,Mid-Market,Europe,Organic,Pro,214,920.85,929.38,11152.52,161,531,0.0,88.69,2,6,34.4615,0,0,0,0,0,0
C000152,Startup,North America,Outbound,Growth,1084,238.97,239.08,8606.93,41,112,1.0,59.035,0,1,30.0833,0,0,1,0,0,0
C000153,Enterprise,North America,Outbound,Enterprise,119,1598.46,1581.98,6327.93,228,587,-0.15,99.838,0,1,46.3077,0,0,1,0,0,0
C000154,Startup,North America,Partner,Basic,1000,0.0,29.65,919.12,0,7,0.0,0.0,0,3,-19.0,0,0,0,1,1,0
C000155,Mid-Market,Europe,Outbound,Enterprise,846,459.34,456.48,16433.24,194,548,2.0,98.7,3,6,44.5,0,0,0,1,0,0
C000156,SMB,LATAM,Referral,Growth,501,227.34,225.62,3835.57,107,346,-1.5,72.5,1,6,24.6923,0,0,1,0,0,0
C000157,SMB,North America,Partner,Growth,1324,273.69,275.07,11828.09,39,125,-3.7,62.504,3,8,22.3846,0,0,1,0,0,0
C000158,Startup,North America,Affiliate,Basic,611,0.0,37.55,901.16,0,6,-2.0,0.0,0,7,-22.2,0,0,0,0,1,0
C000159,Mid-Market,North America,Partner,Pro,741,410.72,412.7,10317.52,109,264,8.5,91.1875,2,3,36.25,0,0,1,0,0,0
C000160,Enterprise,LATAM,Referral,Pro,328,364.01,377.33,4527.95,109,290,3.25,86.265,2,2,33.9167,0,0,1,0,0,0
C000161,Startup,North America,Paid Search,Growth,0,126.67,123.32,123.32,11,11,11.0,56.57,0,0,30.0,0,0,1,0,0,0
C000162,SMB,LATAM,Paid Search,Pro,500,722.49,725.28,17406.77,77,251,-1.35,76.0375,2,7,35.3077,0,0,0,1,0,1
C000163,Enterprise,North America,Paid Search,Enterprise,899,1578.66,1588.01,47640.25,202,677,-3.5,99.5375,0,3,43.1538,0,0,1,0,0,0
C000164,SMB,North America,Partner,Pro,898,417.79,416.25,14985.17,58,215,-4.7,75.9375,4,8,27.8462,0,0,0,1,0,1
C000165,Startup,LATAM,Paid Search,Growth,874,463.21,468.11,13107.22,46,141,-0.5,56.6375,1,1,22.5833,1,1,1,0,0,1
C000166,SMB,Europe,Referral,Pro,269,251.83,251.05,2259.49,72,223,-0.2,85.4675,3,6,37.3846,0,0,1,0,0,0
C000167,Mid-Market,North America,Partner,Enterprise,1018,1892.36,1896.74,64489.01,188,578,3.0,99.3425,1,3,39.6923,0,0,1,0,0,0
C000168,Mid-Market,APAC,Organic,Basic,1163,0.0,34.2,1265.42,0,0,0.0,0.0,0,0,0.0,0,0,0,1,1,0
C000169,Mid-Market,North America,Outbound,Pro,1012,430.57,426.57,14076.84,80,258,0.5,88.3725,1,6,37.5385,0,0,0,0,0,0
C000170,Enterprise,North America,Outbound,Pro,1486,489.63,489.05,23963.46,76,239,0.4,88.375,1,5,34.5385,0,0,1,0,0,0
C000171,SMB,North America,Partner,Basic,1248,0.0,80.57,3222.63,0,0,0.0,0.0,0,0,0.0,0,0,0,1,1,0
C000172,SMB,Europe,Affiliate,Basic,1355,0.0,49.14,2113.02,6,26,0.5,34.805,2,13,-19.1,1,1,0,0,1,0
C000173,SMB,LATAM,Organic,Growth,346,138.16,134.54,1614.54,27,82,-0.25,56.4,1,6,25.0,0,0,1,0,0,0
C000174,SMB,North America,Partner,Basic,422,48.51,48.8,683.15,45,127,3.25,39.99,0,3,16.6154,0,0,1,0,0,0
C000175,SMB,APAC,Paid Search,Basic,459,33.83,33.71,505.65,41,132,-0.5,46.675,5,8,18.6154,0,0,0,0,0,0
C000176,Startup,Europe,Paid Search,Basic,728,0.0,74.32,1783.69,0,0,0.0,0.0,0,3,-26.5,0,0,0,0,1,0
C000177,SMB,APAC,Affiliate,Growth,361,0.0,180.09,1800.93,0,14,0.0,0.0,0,11,-17.75,0,0,0,0,1,0
C000178,Mid-Market,LATAM,Outbound,Pro,1261,552.25,547.77,23006.29,160,386,3.5,97.852,0,1,31.3846,0,0,1,0,0,0
C000179,Startup,APAC,Paid Search,Enterprise,122,0.0,1358.17,16298.07,0,162,-13.25,0.0,0,12,17.1111,0,0,0,1,1,0
C000180,SMB,Europe,Partner,Growth,749,148.12,148.9,5360.4,91,234,-0.05,63.37,3,3,23.3846,0,0,0,0,0,0
C000181,Mid-Market,North America,Paid Search,Growth,82,256.06,255.93,3071.12,58,191,-1.0,71.7125,2,2,23.5,0,0,0,0,0,0
C000182,Mid-Market,Europe,Referral,Pro,1282,706.54,704.24,29578.15,134,346,0.05,83.38,3,3,31.8462,0,0,0,0,0,0
C000183,Mid-Market,Europe,Organic,Basic,722,0.0,103.75,2490.1,0,21,-1.5,0.0,0,6,-12.2222,0,0,0,0,1,0
C000184,Mid-Market,Europe,Outbound,Enterprise,453,1718.41,1730.04,25950.63,200,606,-2.25,100.0,1,2,45.3077,0,0,1,0,0,0
C000185,Mid-Market,LATAM,Outbound,Pro,709,0.0,862.94,20710.51,0,23,0.0,0.0,0,4,1.6,0,0,0,0,1,0
C000186,Startup,North America,Outbound,Basic,787,0.0,45.65,1141.22,0,26,-3.5,0.0,0,11,-16.8333,0,0,0,0,1,0
C000187,SMB,LATAM,Organic,Basic,1263,0.0,50.27,1960.69,14,61,-1.5,21.075,6,25,-15.6923,1,1,0,0,1,0
C000188,Mid-Market,North America,Organic,Basic,940,94.17,94.85,3130.13,29,106,-1.55,47.9425,3,7,18.5385,0,0,0,0,0,0
C000189,SMB,APAC,Paid Search,Growth,1150,224.2,223.95,8510.05,54,200,-2.5,62.77,4,7,22.3846,0,0,1,0,0,0
C000190,Startup,North America,Outbound,Basic,1049,48.26,48.81,1757.24,20,77,-3.5,31.7,1,3,16.3333,0,0,0,0,0,1
C000191,SMB,North America,Organic,Pro,481,296.43,299.63,5393.38,66,190,2.25,74.4025,0,0,38.2308,0,0,0,0,0,0
C000192,SMB,LATAM,Organic,Growth,558,147.46,149.99,3599.82,99,283,1.5,62.785,4,8,23.4615,0,0,0,0,0,0
