customer_id,segment,region,acquisition_channel,plan_type,tenure_days,current_mrr,avg_monthly_revenue,lifetime_revenue,churn_risk_score,revenue_risk_score,retention_priority_score,risk_tier,main_risk_driver,recommended_action,recommendation_context,at_risk_flag,payment_failure_flag,renewal_near_flag,contraction_flag,usage_trend,support_tickets_90d,nps_score_recent,feature_adoption_score_recent,failed_payments_90d
C002807,Mid-Market,Europe,Organic,Pro,1077,545.48,548.25,18092.29,74.33,75.05,74.58,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=74.3; revenue_risk=75.0; priority=74.6; current_mrr=$545.48.,1,1,1,1,-5.75,5,31.25,81.2375,1
C002574,Startup,North America,Affiliate,Pro,911,810.55,796.84,23905.1,54.7,84.6,65.16,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=54.7; revenue_risk=84.6; priority=65.2; current_mrr=$810.55.,1,0,1,0,-3.5,6,26.9231,70.346,0
C002128,Enterprise,APAC,Partner,Enterprise,562,2720.75,2681.91,48274.37,46.47,98.01,64.51,high,failed payments,billing intervention,Tier=high; driver=failed payments; churn_risk=46.5; revenue_risk=98.0; priority=64.5; current_mrr=$2720.75.,1,1,0,1,-0.8,4,39.0,96.6875,1
C000652,Mid-Market,North America,Paid Search,Pro,522,597.83,597.02,10746.4,58.0,76.35,64.42,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=58.0; revenue_risk=76.3; priority=64.4; current_mrr=$597.83.,1,0,1,0,-6.25,6,34.4615,83.4175,0
C001546,Enterprise,Europe,Paid Search,Enterprise,611,1828.0,1791.17,42988.15,47.53,95.59,64.35,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=47.5; revenue_risk=95.6; priority=64.3; current_mrr=$1828.00.,1,0,0,0,-3.7,5,40.7692,96.85,0
C000089,Mid-Market,LATAM,Organic,Pro,340,750.34,759.19,9110.27,54.7,81.3,64.01,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=54.7; revenue_risk=81.3; priority=64.0; current_mrr=$750.34.,1,0,1,0,-3.5,7,31.2308,75.8525,0
C002120,SMB,APAC,Outbound,Pro,449,576.15,577.63,6931.55,58.0,74.34,63.72,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=58.0; revenue_risk=74.3; priority=63.7; current_mrr=$576.15.,1,0,1,0,-4.5,7,31.9231,73.488,0
C000593,Mid-Market,North America,Outbound,Enterprise,1143,1459.12,1429.26,68604.26,46.9,93.26,63.13,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=46.9; revenue_risk=93.3; priority=63.1; current_mrr=$1459.12.,1,0,0,0,-3.15,6,39.8462,95.02,0
C002549,SMB,North America,Affiliate,Pro,796,611.78,614.43,16589.53,54.7,78.1,62.89,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=54.7; revenue_risk=78.1; priority=62.9; current_mrr=$611.78.,1,0,1,0,-3.5,10,28.3846,74.8475,0
C001656,Mid-Market,LATAM,Organic,Enterprise,1168,3186.0,3192.59,124511.15,43.33,99.06,62.84,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=43.3; revenue_risk=99.1; priority=62.8; current_mrr=$3186.00.,0,0,1,0,-5.75,5,40.9167,100.0,0
C001463,Mid-Market,North America,Organic,Enterprise,1447,1537.5,1545.15,74167.35,46.0,93.97,62.79,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=46.0; revenue_risk=94.0; priority=62.8; current_mrr=$1537.50.,0,0,1,0,-5.0,7,42.0769,100.0,0
C002736,SMB,North America,Paid Search,Pro,1308,845.58,846.02,37224.74,49.75,86.21,62.51,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=49.8; revenue_risk=86.2; priority=62.5; current_mrr=$845.58.,1,0,1,0,-2.75,13,32.0833,75.6425,0
C000164,SMB,North America,Partner,Pro,898,417.79,416.25,14985.17,60.0,67.09,62.48,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=60.0; revenue_risk=67.1; priority=62.5; current_mrr=$417.79.,1,0,0,1,-4.7,8,27.8462,75.9375,0
C002294,Enterprise,APAC,Referral,Enterprise,371,1328.28,1320.06,17160.73,47.33,90.46,62.43,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=47.3; revenue_risk=90.5; priority=62.4; current_mrr=$1328.28.,1,0,1,0,-5.5,2,42.8462,92.21,0
C002775,Mid-Market,North America,Outbound,Pro,691,548.11,535.78,12858.79,55.81,74.1,62.21,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=55.8; revenue_risk=74.1; priority=62.2; current_mrr=$548.11.,1,0,1,0,-4.75,5,24.0769,83.15,0
C002500,Mid-Market,LATAM,Partner,Enterprise,99,2967.64,2942.21,35306.54,42.67,97.92,62.01,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=42.7; revenue_risk=97.9; priority=62.0; current_mrr=$2967.64.,0,0,0,1,-4.05,4,39.1538,98.988,0
C001473,Mid-Market,Europe,Paid Search,Pro,833,609.72,603.57,21728.52,53.1,78.42,61.96,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=53.1; revenue_risk=78.4; priority=62.0; current_mrr=$609.72.,1,0,0,1,-2.85,6,29.0,85.844,0
C001409,Enterprise,LATAM,Partner,Enterprise,1506,2003.31,1994.78,119686.81,43.1,96.88,61.92,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=43.1; revenue_risk=96.9; priority=61.9; current_mrr=$2003.31.,1,0,0,0,-3.85,3,41.0,96.35,0
C001679,Enterprise,North America,Partner,Enterprise,104,1970.75,1943.14,23317.64,43.83,95.3,61.84,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=43.8; revenue_risk=95.3; priority=61.8; current_mrr=$1970.75.,0,0,0,1,-3.75,5,49.25,99.6225,0
C000099,SMB,Europe,Affiliate,Pro,550,483.06,483.5,8703.08,57.0,69.76,61.47,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=57.0; revenue_risk=69.8; priority=61.5; current_mrr=$483.06.,0,1,1,0,-4.5,12,37.2308,73.815,1
C002275,Mid-Market,North America,Organic,Enterprise,1250,3272.26,3289.81,138172.21,40.67,99.15,61.14,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=40.7; revenue_risk=99.2; priority=61.1; current_mrr=$3272.26.,0,0,1,0,-7.75,4,45.0769,97.6725,0
C001637,SMB,Europe,Paid Search,Enterprise,1257,1444.8,1444.36,59218.75,43.8,93.14,61.07,high,support burden,customer success outreach,Tier=high; driver=support burden; churn_risk=43.8; revenue_risk=93.1; priority=61.1; current_mrr=$1444.80.,1,1,1,0,2.75,7,45.8462,97.95,1
C003121,SMB,Europe,Organic,Pro,573,697.78,702.68,12648.18,50.33,80.51,60.89,high,support burden,customer success outreach,Tier=high; driver=support burden; churn_risk=50.3; revenue_risk=80.5; priority=60.9; current_mrr=$697.78.,1,1,0,1,-1.0,5,34.9167,73.2775,1
C000481,SMB,North America,Organic,Pro,1069,999.92,1005.73,36206.37,46.0,88.42,60.85,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=46.0; revenue_risk=88.4; priority=60.9; current_mrr=$999.92.,0,0,1,0,-5.0,7,36.3846,81.65,0
C000486,Enterprise,APAC,Partner,Enterprise,1166,3222.04,3212.64,154206.81,40.0,99.13,60.7,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=40.0; revenue_risk=99.1; priority=60.7; current_mrr=$3222.04.,0,0,0,0,-4.0,6,41.3846,99.3325,0
C001849,Enterprise,North America,Organic,Enterprise,715,1467.52,1458.37,35000.94,43.33,92.8,60.64,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=43.3; revenue_risk=92.8; priority=60.6; current_mrr=$1467.52.,0,0,1,0,-6.5,5,47.0,97.732,0
C002292,Mid-Market,North America,Referral,Enterprise,1021,4227.89,4240.87,144189.6,39.4,99.62,60.48,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=39.4; revenue_risk=99.6; priority=60.5; current_mrr=$4227.89.,0,0,1,0,-3.0,7,38.8333,95.9325,0
C000452,Enterprise,North America,Outbound,Enterprise,106,1385.78,1408.87,16906.42,43.83,90.96,60.33,high,support burden,customer success outreach,Tier=high; driver=support burden; churn_risk=43.8; revenue_risk=91.0; priority=60.3; current_mrr=$1385.78.,1,0,0,1,-1.75,5,41.5385,94.806,0
C003133,Mid-Market,North America,Paid Search,Enterprise,361,686.94,674.57,8094.8,50.0,79.0,60.15,high,usage decline,product adoption campaign,Tier=high; driver=usage decline; churn_risk=50.0; revenue_risk=79.0; priority=60.1; current_mrr=$686.94.,1,0,1,0,-9.5,3,37.8462,100.0,0
C003454,SMB,North America,Outbound,Pro,980,702.0,705.54,23282.91,48.1,82.03,59.98,medium,support burden,customer success outreach,Tier=medium; driver=support burden; churn_risk=48.1; revenue_risk=82.0; priority=60.0; current_mrr=$702.00.,1,0,1,0,-2.5,7,31.5385,79.374,0
C003243,Mid-Market,Europe,Outbound,Enterprise,153,2453.32,2440.59,29287.13,39.33,96.94,59.49,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=39.3; revenue_risk=96.9; priority=59.5; current_mrr=$2453.32.,0,0,0,1,-3.0,5,43.9167,96.68,0
C003257,Mid-Market,Europe,Organic,Enterprise,1248,1583.63,1591.53,66844.39,40.67,94.3,59.44,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=40.7; revenue_risk=94.3; priority=59.4; current_mrr=$1583.63.,0,0,1,0,-6.1,4,38.7692,99.52,0
C001373,SMB,North America,Organic,Pro,837,419.28,422.41,11827.51,55.33,66.75,59.33,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=55.3; revenue_risk=66.8; priority=59.3; current_mrr=$419.28.,1,0,1,0,-4.25,5,33.8462,84.125,0
C003154,Enterprise,LATAM,Referral,Enterprise,303,1768.6,1774.22,17742.25,40.67,93.96,59.32,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=40.7; revenue_risk=94.0; priority=59.3; current_mrr=$1768.60.,0,0,1,0,-6.95,4,49.0769,100.0,0
C002884,SMB,LATAM,Organic,Growth,1439,383.35,385.61,18123.6,55.91,65.53,59.28,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=55.9; revenue_risk=65.5; priority=59.3; current_mrr=$383.35.,1,0,1,0,-4.5,4,18.6923,62.7,0
C002183,SMB,LATAM,Affiliate,Pro,598,474.51,479.77,9115.59,53.7,69.55,59.25,medium,support burden,customer success outreach,Tier=medium; driver=support burden; churn_risk=53.7; revenue_risk=69.5; priority=59.2; current_mrr=$474.51.,1,1,1,0,-1.65,7,29.3846,75.125,1
C002238,SMB,North America,Outbound,Pro,1109,863.42,874.61,31486.01,43.8,86.47,58.73,medium,support burden,customer success outreach,Tier=medium; driver=support burden; churn_risk=43.8; revenue_risk=86.5; priority=58.7; current_mrr=$863.42.,1,1,1,0,2.7,7,28.3077,77.4975,1
C000300,SMB,Europe,Partner,Growth,1481,331.65,329.62,16151.16,57.19,61.48,58.69,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=57.2; revenue_risk=61.5; priority=58.7; current_mrr=$331.65.,1,0,1,0,-3.5,7,20.1538,58.3725,0
C001976,Mid-Market,North America,Outbound,Enterprise,1430,871.51,885.11,42485.09,43.33,87.01,58.62,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=43.3; revenue_risk=87.0; priority=58.6; current_mrr=$871.51.,0,0,1,0,-5.55,5,40.4615,100.0,0
C000685,Mid-Market,North America,Outbound,Enterprise,1263,1599.32,1602.18,57678.59,39.03,94.39,58.41,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=39.0; revenue_risk=94.4; priority=58.4; current_mrr=$1599.32.,0,0,0,1,-2.95,5,45.9231,100.0,0
C002902,Mid-Market,Europe,Partner,Enterprise,291,1712.99,1754.88,10529.29,40.0,92.19,58.27,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=40.0; revenue_risk=92.2; priority=58.3; current_mrr=$1712.99.,0,0,0,0,-4.25,6,36.3077,96.8625,0
C002733,Mid-Market,APAC,Organic,Enterprise,97,798.16,791.2,9494.42,45.33,82.16,58.22,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=45.3; revenue_risk=82.2; priority=58.2; current_mrr=$798.16.,0,0,0,1,-5.0,5,39.1667,92.1875,0
C001180,Mid-Market,North America,Partner,Enterprise,1482,1260.71,1276.92,76614.91,40.0,91.8,58.13,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=40.0; revenue_risk=91.8; priority=58.1; current_mrr=$1260.71.,0,0,0,0,-4.75,6,37.7692,99.2825,0
C000840,SMB,LATAM,Organic,Pro,122,540.74,535.35,3212.08,51.38,70.16,57.95,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=51.4; revenue_risk=70.2; priority=58.0; current_mrr=$540.74.,1,0,0,0,-3.85,9,24.4615,71.0375,0
C002180,Enterprise,APAC,Partner,Enterprise,814,754.44,737.41,26546.78,44.0,83.63,57.87,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=44.0; revenue_risk=83.6; priority=57.9; current_mrr=$754.44.,1,0,0,0,-6.8,3,44.0,100.0,0
C000384,Enterprise,North America,Paid Search,Pro,1145,516.77,495.76,23796.4,49.33,73.7,57.86,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=49.3; revenue_risk=73.7; priority=57.9; current_mrr=$516.77.,1,0,0,0,-4.5,5,30.2308,81.9,0
C001720,Enterprise,Europe,Referral,Enterprise,723,1683.85,1662.45,39898.86,38.08,94.44,57.81,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=38.1; revenue_risk=94.4; priority=57.8; current_mrr=$1683.85.,0,0,1,0,-2.8,6,45.8462,100.0,0
C001639,SMB,Europe,Organic,Growth,1235,318.28,316.94,12043.81,56.87,59.43,57.77,medium,support burden,customer success outreach,Tier=medium; driver=support burden; churn_risk=56.9; revenue_risk=59.4; priority=57.8; current_mrr=$318.28.,1,1,1,0,-2.0,7,22.9231,55.945,1
C002897,Enterprise,North America,Paid Search,Enterprise,504,1774.17,1717.7,41224.85,37.33,95.12,57.56,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=37.3; revenue_risk=95.1; priority=57.6; current_mrr=$1774.17.,0,0,0,1,-6.15,2,41.6923,96.232,0
C003183,Mid-Market,APAC,Organic,Enterprise,382,1735.59,1749.82,41995.62,37.33,95.09,57.55,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=37.3; revenue_risk=95.1; priority=57.5; current_mrr=$1735.59.,0,0,0,0,-4.5,5,43.3846,98.8125,0
C000872,Enterprise,North America,Outbound,Pro,1212,348.45,347.24,16667.38,54.67,62.75,57.5,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=54.7; revenue_risk=62.8; priority=57.5; current_mrr=$348.45.,1,0,0,1,-6.15,4,31.6154,86.944,0
C000162,SMB,LATAM,Paid Search,Pro,500,722.49,725.28,17406.77,44.1,82.06,57.39,medium,support burden,customer success outreach,Tier=medium; driver=support burden; churn_risk=44.1; revenue_risk=82.1; priority=57.4; current_mrr=$722.49.,1,0,0,1,-1.35,7,35.3077,76.0375,0
C001267,Enterprise,LATAM,Paid Search,Pro,1437,323.97,324.58,15579.96,55.33,60.89,57.28,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=55.3; revenue_risk=60.9; priority=57.3; current_mrr=$323.97.,1,0,1,0,-5.35,5,28.0,91.825,0
C003102,Mid-Market,APAC,Referral,Pro,1319,865.77,863.43,41444.49,41.2,86.81,57.16,medium,support burden,customer success outreach,Tier=medium; driver=support burden; churn_risk=41.2; revenue_risk=86.8; priority=57.2; current_mrr=$865.77.,1,0,0,0,-2.2,6,35.6154,83.6175,0
C002693,Enterprise,Europe,Referral,Enterprise,126,1700.26,1700.59,20407.04,37.33,93.61,57.03,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=37.3; revenue_risk=93.6; priority=57.0; current_mrr=$1700.26.,0,0,0,1,-10.65,2,42.3846,100.0,0
C002231,Startup,Europe,Partner,Growth,545,227.82,230.53,4149.5,61.91,47.79,56.97,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=61.9; revenue_risk=47.8; priority=57.0; current_mrr=$227.82.,1,0,1,0,-5.25,6,21.6667,49.52,0
C001297,SMB,North America,Paid Search,Enterprise,1109,991.03,990.92,35673.02,40.0,88.3,56.9,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=40.0; revenue_risk=88.3; priority=56.9; current_mrr=$991.03.,0,0,0,0,-9.4,6,43.5385,96.2575,0
C003397,Enterprise,Europe,Partner,Pro,827,592.5,596.87,21487.17,45.33,77.9,56.73,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=45.3; revenue_risk=77.9; priority=56.7; current_mrr=$592.50.,0,0,0,1,-9.0,5,36.4615,95.482,0
C002113,Mid-Market,APAC,Referral,Enterprise,127,4190.21,4174.4,16697.59,34.8,97.44,56.72,medium,support burden,customer success outreach,Tier=medium; driver=support burden; churn_risk=34.8; revenue_risk=97.4; priority=56.7; current_mrr=$4190.21.,0,1,1,0,-0.5,7,43.0769,97.178,1
C001103,Mid-Market,LATAM,Partner,Pro,118,367.96,363.09,4357.07,54.67,60.54,56.72,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=54.7; revenue_risk=60.5; priority=56.7; current_mrr=$367.96.,1,0,0,1,-4.25,4,25.5,87.3175,0
C002445,SMB,North America,Paid Search,Pro,607,407.13,406.99,9767.86,52.0,65.38,56.68,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=52.0; revenue_risk=65.4; priority=56.7; current_mrr=$407.13.,1,0,0,0,-5.0,7,33.9231,81.1775,0
C000923,SMB,Europe,Outbound,Pro,829,600.92,604.53,21763.15,44.77,78.23,56.48,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=44.8; revenue_risk=78.2; priority=56.5; current_mrr=$600.92.,1,0,0,1,-2.35,4,31.5385,82.5275,0
C002150,SMB,LATAM,Organic,Growth,222,288.37,286.49,2291.89,58.52,52.27,56.33,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=58.5; revenue_risk=52.3; priority=56.3; current_mrr=$288.37.,1,0,1,0,-3.5,8,19.6154,52.3725,0
C000006,Mid-Market,APAC,Organic,Enterprise,208,1509.77,1519.58,18234.93,37.0,92.11,56.29,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=37.0; revenue_risk=92.1; priority=56.3; current_mrr=$1509.77.,0,0,0,0,-3.5,10,45.0769,100.0,0
C000845,SMB,APAC,Paid Search,Growth,1504,228.41,228.51,11197.19,59.48,50.35,56.28,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=59.5; revenue_risk=50.4; priority=56.3; current_mrr=$228.41.,1,0,1,0,-3.75,6,21.0833,52.2125,0
C001326,Enterprise,Europe,Outbound,Enterprise,1226,4367.96,4405.02,176200.7,32.67,99.72,56.14,medium,usage decline,monitor only,Tier=medium; driver=usage decline; churn_risk=32.7; revenue_risk=99.7; priority=56.1; current_mrr=$4367.96.,0,0,1,0,-9.55,1,42.7692,100.0,0
C003380,Enterprise,APAC,Outbound,Pro,907,812.34,809.88,24296.41,40.67,84.84,56.13,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=40.7; revenue_risk=84.8; priority=56.1; current_mrr=$812.34.,0,0,1,0,-6.75,4,41.0769,96.3275,0
C000736,SMB,North America,Referral,Growth,486,285.64,287.72,4603.48,57.07,53.96,55.98,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=57.1; revenue_risk=54.0; priority=56.0; current_mrr=$285.64.,1,0,1,0,-4.4,5,21.6154,56.42,0
C000203,Mid-Market,LATAM,Referral,Pro,754,1203.31,1197.17,29929.3,37.37,90.28,55.89,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=37.4; revenue_risk=90.3; priority=55.9; current_mrr=$1203.31.,0,0,1,0,-3.5,4,34.9231,93.2825,0
C001804,SMB,Europe,Organic,Pro,1115,619.7,616.26,22801.48,43.33,78.87,55.77,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=43.3; revenue_risk=78.9; priority=55.8; current_mrr=$619.70.,0,0,1,0,-4.2,5,37.9231,76.345,0
C000163,Enterprise,North America,Paid Search,Enterprise,899,1578.66,1588.01,47640.25,34.7,93.98,55.45,medium,usage decline,monitor only,Tier=medium; driver=usage decline; churn_risk=34.7; revenue_risk=94.0; priority=55.5; current_mrr=$1578.66.,0,0,1,0,-3.5,3,43.1538,99.5375,0
C002721,Enterprise,Europe,Partner,Enterprise,555,1073.53,1052.36,25256.65,37.33,88.83,55.36,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=37.3; revenue_risk=88.8; priority=55.4; current_mrr=$1073.53.,0,0,0,0,-5.8,5,43.2308,97.49,0
C000101,SMB,APAC,Partner,Pro,246,453.9,452.73,4074.55,49.42,65.96,55.21,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=49.4; revenue_risk=66.0; priority=55.2; current_mrr=$453.90.,1,0,1,0,-2.7,8,32.4615,77.3,0
C002641,SMB,Europe,Referral,Enterprise,1147,1220.47,1240.88,59562.02,35.67,91.26,55.13,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=35.7; revenue_risk=91.3; priority=55.1; current_mrr=$1220.47.,1,0,0,0,-3.5,1,37.3333,87.48,0
C002719,Enterprise,North America,Outbound,Enterprise,633,943.62,939.2,18784.05,38.13,86.61,55.1,medium,support burden,customer success outreach,Tier=medium; driver=support burden; churn_risk=38.1; revenue_risk=86.6; priority=55.1; current_mrr=$943.62.,0,1,1,0,-1.5,5,43.7692,99.405,1
C001125,Startup,North America,Referral,Pro,235,810.31,812.05,7308.44,40.67,81.88,55.09,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=40.7; revenue_risk=81.9; priority=55.1; current_mrr=$810.31.,0,0,1,0,-4.75,4,33.6923,77.2675,0
C002306,Enterprise,APAC,Outbound,Enterprise,1367,1313.87,1315.73,51313.52,35.11,91.87,54.98,medium,support burden,customer success outreach,Tier=medium; driver=support burden; churn_risk=35.1; revenue_risk=91.9; priority=55.0; current_mrr=$1313.87.,0,0,1,0,-2.35,6,46.4615,100.0,0
C000953,SMB,Europe,Outbound,Growth,584,341.11,329.26,7902.29,52.02,60.0,54.81,medium,usage decline,product adoption campaign,Tier=medium; driver=usage decline; churn_risk=52.0; revenue_risk=60.0; priority=54.8; current_mrr=$341.11.,1,0,0,0,-3.6,9,20.5385,54.68,0
C000897,Mid-Market,LATAM,Partner,Enterprise,732,1333.47,1331.49,47933.52,34.67,92.04,54.75,medium,usage decline,monitor only,Tier=medium; driver=usage decline; churn_risk=34.7; revenue_risk=92.0; priority=54.8; current_mrr=$1333.47.,0,0,0,0,-8.5,4,42.1538,98.8725,0
C001020,Enterprise,North America,Organic,Enterprise,1332,2157.89,2158.57,92818.52,31.8,97.31,54.73,medium,support burden,customer success outreach,Tier=medium; driver=support burden; churn_risk=31.8; revenue_risk=97.3; priority=54.7; current_mrr=$2157.89.,0,1,1,0,0.95,7,36.3846,100.0,1
C001119,Enterprise,Europe,Organic,Enterprise,418,2080.3,2030.87,48740.87,32.0,96.61,54.61,medium,usage decline,monitor only,Tier=medium; driver=usage decline; churn_risk=32.0; revenue_risk=96.6; priority=54.6; current_mrr=$2080.30.,0,0,0,0,-5.75,3,41.0,95.1775,0
