subscription_id,customer_id,subscription_start_date,subscription_end_date,monthly_revenue,contract_type,billing_cycle,status
SUB000128,C000128,2025-03-22,,938.06,Monthly,Monthly,active
SUB000129,C000129,2024-06-06,,680.75,Monthly,Monthly,active
SUB000130,C000130,2024-08-23,2025-11-03,140.64,Monthly,Monthly,churned
SUB000131,C000131,2024-05-15,,704.24,Monthly,Monthly,active
SUB000132,C000132,2024-05-02,,183.8,Monthly,Monthly,active
SUB000133,C000133,2022-05-24,,452.2,Monthly,Quarterly,active
SUB000134,C000134,2024-05-06,,153.53,Monthly,Monthly,at_risk
SUB000135,C000135,2025-04-27,,147.7,Annual,Annual,active
SUB000136,C000136,2023-04-14,,207.6,Monthly,Monthly,at_risk
SUB000137,C000137,2024-07-15,2026-01-31,58.57,Annual,Annual,churned
SUB000138,C000138,2022-02-16,,119.56,Monthly,Monthly,active
SUB000139,C000139,2023-06-24,,913.2,Annual,Annual,active
SUB000140,C000140,2023-11-05,2025-11-24,180.83,Monthly,Monthly,churned
SUB000141,C000141,2026-02-04,,66.7,Monthly,Monthly,at_risk
SUB000142,C000142,2022-12-04,,141.16,Monthly,Monthly,active
SUB000143,C000143,2023-03-04,2026-02-05,285.94,Annual,Annual,churned
SUB000144,C000144,2023-09-17,,96.57,Monthly,Quarterly,at_risk
SUB000145,C000145,2026-02-23,,87.77,Monthly,Monthly,active
SUB000146,C000146,2025-07-28,2026-02-04,72.26,Monthly,Monthly,churned
SUB000147,C000147,2022-02-25,,273.42,Monthly,Monthly,active
SUB000148,C000148,2022-12-31,,147.17,Monthly,Monthly,active
SUB000149,C000149,2025-06-11,,59.91,Monthly,Quarterly,active
SUB000150,C000150,2022-04-04,,252.26,Monthly,Monthly,at_risk
SUB000151,C000151,2025-07-30,,920.85,Annual,Annual,active
SUB000152,C000152,2023-03-13,,238.97,Monthly,Monthly,active
SUB000153,C000153,2025-11-02,,1598.46,Monthly,Monthly,active
SUB000154,C000154,2023-03-29,2025-12-23,29.62,Monthly,Monthly,churned
SUB000155,C000155,2023-11-06,,459.34,Annual,Annual,active
SUB000156,C000156,2024-10-16,,227.34,Monthly,Monthly,active
SUB000157,C000157,2022-07-16,,273.69,Monthly,Monthly,active
SUB000158,C000158,2024-05-06,2026-01-07,38.12,Annual,Annual,churned
SUB000159,C000159,2024-02-19,,410.72,Monthly,Monthly,active
SUB000160,C000160,2025-04-07,,364.01,Annual,Annual,active
SUB000161,C000161,2026-03-01,,126.67,Monthly,Monthly,active
SUB000162,C000162,2024-10-17,,722.49,Annual,Annual,at_risk
SUB000163,C000163,2023-09-14,,1578.66,Annual,Quarterly,active
SUB000164,C000164,2023-09-15,,417.79,Annual,Annual,at_risk
SUB000165,C000165,2023-10-09,,463.21,Monthly,Monthly,at_risk
SUB000166,C000166,2025-06-05,,251.83,Monthly,Monthly,active
SUB000167,C000167,2023-05-18,,1892.36,Monthly,Monthly,active
SUB000168,C000168,2022-09-20,2025-11-26,34.31,Monthly,Monthly,churned
SUB000169,C000169,2023-05-24,,430.57,Annual,Quarterly,active
SUB000170,C000170,2022-02-04,,489.63,Monthly,Monthly,active
SUB000171,C000171,2022-06-23,2025-11-22,80.43,Monthly,Monthly,churned
SUB000172,C000172,2022-05-28,2026-02-11,48.9,Monthly,Monthly,churned
SUB000173,C000173,2025-03-20,,138.16,Annual,Annual,active
SUB000174,C000174,2025-01-03,,48.51,Monthly,Monthly,active
SUB000175,C000175,2024-11-27,,33.83,Monthly,Quarterly,active
SUB000176,C000176,2023-12-17,2025-12-14,73.1,Annual,Annual,churned
SUB000177,C000177,2025-01-05,2026-01-01,179.06,Monthly,Monthly,churned
SUB000178,C000178,2022-09-17,,552.25,Monthly,Monthly,active
SUB000179,C000179,2025-10-01,2026-01-31,1347.46,Annual,Annual,churned
SUB000180,C000180,2024-02-11,,148.12,Annual,Annual,active
SUB000181,C000181,2025-12-09,,256.06,Annual,Annual,active
SUB000182,C000182,2022-08-27,,706.54,Monthly,Quarterly,active
SUB000183,C000183,2024-02-06,2026-01-28,103.96,Annual,Annual,churned
SUB000184,C000184,2024-12-03,,1718.41,Monthly,Monthly,active
SUB000185,C000185,2024-01-24,2026-01-02,811.87,Annual,Annual,churned
SUB000186,C000186,2023-11-16,2026-01-11,45.61,Monthly,Monthly,churned
SUB000187,C000187,2022-09-13,2026-02-27,50.25,Monthly,Monthly,churned
SUB000188,C000188,2023-08-04,,94.17,Monthly,Quarterly,active
SUB000189,C000189,2023-01-06,,224.2,Monthly,Monthly,active
SUB000190,C000190,2023-04-17,,48.26,Annual,Annual,at_risk
SUB000191,C000191,2024-11-05,,296.43,Annual,Quarterly,active
SUB000192,C000192,2024-08-20,,147.46,Annual,Annual,active
SUB000193,C000193,2024-07-21,,121.66,Monthly,Monthly,active
SUB000194,C000194,2023-07-08,2026-01-29,119.51,Monthly,Monthly,churned
SUB000195,C000195,2025-12-30,,216.85,Monthly,Monthly,at_risk
SUB000196,C000196,2022-05-16,,117.78,Monthly,Monthly,active
SUB000197,C000197,2023-06-05,,105.34,Monthly,Monthly,active
SUB000198,C000198,2022-07-13,,912.47,Annual,Annual,active
SUB000199,C000199,2023-06-07,,127.95,Monthly,Monthly,at_risk
SUB000200,C000200,2026-01-16,,428.9,Annual,Annual,active
SUB000201,C000201,2023-07-21,,734.61,Annual,Annual,active
SUB000202,C000202,2025-10-18,2026-02-23,108.7,Monthly,Monthly,churned
SUB000203,C000203,2024-02-06,,1203.31,Monthly,Monthly,active
SUB000204,C000204,2024-12-02,,833.32,Annual,Quarterly,active
SUB000205,C000205,2023-11-29,,254.53,Annual,Annual,active
SUB000206,C000206,2023-02-21,,3543.23,Monthly,Quarterly,active
SUB000207,C000207,2025-03-15,,271.42,Monthly,Monthly,at_risk
SUB000208,C000208,2026-01-19,,50.67,Monthly,Monthly,at_risk
SUB000209,C000209,2023-02-13,,1726.69,Annual,Annual,active
SUB000210,C000210,2025-04-12,2026-01-22,66.04,Monthly,Monthly,churned
SUB000211,C000211,2023-02-05,,487.19,Monthly,Monthly,active
SUB000212,C000212,2025-01-07,,30.69,Monthly,Monthly,at_risk
SUB000213,C000213,2025-04-27,2026-01-29,20.0,Monthly,Monthly,churned
SUB000214,C000214,2023-11-26,,37.61,Monthly,Quarterly,at_risk
SUB000215,C000215,2025-01-27,,986.35,Monthly,Monthly,active
SUB000216,C000216,2023-02-19,,336.08,Monthly,Monthly,active
SUB000217,C000217,2022-05-02,,144.09,Monthly,Monthly,active
SUB000218,C000218,2022-06-06,,109.07,Annual,Annual,active
SUB000219,C000219,2023-11-16,,62.33,Monthly,Quarterly,active
SUB000220,C000220,2025-10-17,2026-02-05,67.01,Monthly,Quarterly,churned
SUB000221,C000221,2022-07-13,,203.46,Monthly,Quarterly,active
SUB000222,C000222,2023-11-29,2026-02-25,159.15,Monthly,Monthly,churned
SUB000223,C000223,2024-12-09,,565.82,Monthly,Monthly,active
SUB000224,C000224,2022-11-17,,91.56,Monthly,Monthly,active
SUB000225,C000225,2025-01-02,,147.82,Monthly,Monthly,active
SUB000226,C000226,2023-04-17,,120.03,Monthly,Monthly,active
SUB000227,C000227,2025-05-27,2026-02-07,237.48,Monthly,Monthly,churned
SUB000228,C000228,2024-06-13,,566.4,Annual,Annual,active
SUB000229,C000229,2024-04-24,,1472.78,Annual,Annual,at_risk
SUB000230,C000230,2022-10-05,,192.19,Monthly,Monthly,active
SUB000231,C000231,2023-12-08,,1315.84,Annual,Annual,at_risk
SUB000232,C000232,2025-07-27,,187.9,Monthly,Monthly,active
SUB000233,C000233,2022-02-05,,213.94,Monthly,Monthly,active
SUB000234,C000234,2025-03-05,2026-02-15,531.35,Annual,Annual,churned
SUB000235,C000235,2024-01-26,,519.78,Annual,Annual,active
SUB000236,C000236,2024-12-29,,3011.82,Monthly,Monthly,active
SUB000237,C000237,2024-10-15,2025-12-27,26.81,Annual,Annual,churned
SUB000238,C000238,2023-10-24,,116.28,Annual,Annual,active
SUB000239,C000239,2023-04-16,,1420.6,Annual,Annual,active
SUB000240,C000240,2024-08-24,2026-02-03,39.6,Monthly,Monthly,churned
SUB000241,C000241,2022-08-07,2025-12-31,46.02,Annual,Annual,churned
SUB000242,C000242,2024-06-09,,267.81,Monthly,Monthly,active
SUB000243,C000243,2022-05-31,,150.74,Monthly,Monthly,active
SUB000244,C000244,2024-09-28,2025-11-22,76.98,Monthly,Quarterly,churned
SUB000245,C000245,2024-08-25,,135.08,Monthly,Monthly,active
SUB000246,C000246,2022-05-10,,1445.47,Annual,Annual,at_risk
SUB000247,C000247,2025-03-07,,162.56,Monthly,Monthly,at_risk
SUB000248,C000248,2023-10-04,,199.85,Monthly,Monthly,active
SUB000249,C000249,2025-04-24,,561.42,Annual,Annual,active
SUB000250,C000250,2022-03-19,2025-08-22,51.67,Monthly,Monthly,churned
SUB000251,C000251,2022-10-11,,726.37,Monthly,Monthly,active
SUB000252,C000252,2024-01-30,,45.1,Annual,Annual,active
SUB000253,C000253,2022-10-19,,354.13,Annual,Annual,active
SUB000254,C000254,2023-05-30,,408.09,Monthly,Monthly,active
SUB000255,C000255,2024-10-15,,210.95,Monthly,Monthly,active
SUB000256,C000256,2022-08-22,,188.07,Annual,Annual,at_risk
SUB000257,C000257,2024-11-10,2026-01-01,222.47,Monthly,Monthly,churned
SUB000258,C000258,2022-06-16,2025-11-01,46.27,Monthly,Monthly,churned
SUB000259,C000259,2022-10-08,,292.52,Monthly,Quarterly,at_risk
SUB000260,C000260,2024-06-23,,610.22,Annual,Annual,active
SUB000261,C000261,2025-04-24,2026-02-04,57.85,Monthly,Monthly,churned
SUB000262,C000262,2022-09-17,,72.16,Monthly,Monthly,at_risk
SUB000263,C000263,2023-04-15,2026-01-20,40.58,Monthly,Quarterly,churned
SUB000264,C000264,2025-11-13,2026-02-27,68.83,Monthly,Monthly,churned
SUB000265,C000265,2026-02-26,,125.52,Annual,Annual,active
SUB000266,C000266,2024-06-06,2026-01-19,215.76,Monthly,Monthly,churned
SUB000267,C000267,2023-11-16,2025-10-03,165.22,Monthly,Monthly,churned
SUB000268,C000268,2023-06-24,2025-12-25,51.72,Annual,Annual,churned
SUB000269,C000269,2024-07-26,2026-02-17,37.55,Monthly,Monthly,churned
SUB000270,C000270,2024-06-27,2026-02-01,22.81,Monthly,Monthly,churned
SUB000271,C000271,2023-03-29,,282.91,Annual,Quarterly,active
SUB000272,C000272,2022-02-13,,147.23,Monthly,Monthly,active
SUB000273,C000273,2022-08-26,2025-08-30,384.07,Annual,Quarterly,churned
SUB000274,C000274,2026-01-10,,40.65,Monthly,Monthly,active
SUB000275,C000275,2023-10-05,2026-02-03,264.27,Annual,Annual,churned
SUB000276,C000276,2024-01-05,2025-08-29,81.77,Monthly,Monthly,churned
SUB000277,C000277,2023-12-23,,306.43,Annual,Annual,active
SUB000278,C000278,2025-04-18,,92.89,Annual,Annual,active
SUB000279,C000279,2022-04-22,,150.98,Monthly,Monthly,active
SUB000280,C000280,2022-05-07,,125.33,Monthly,Monthly,active
SUB000281,C000281,2023-03-10,2025-02-25,48.19,Monthly,Monthly,churned
SUB000282,C000282,2024-01-15,2026-01-14,116.96,Annual,Annual,churned
SUB000283,C000283,2024-10-29,,94.33,Monthly,Monthly,active
SUB000284,C000284,2024-01-25,,218.25,Monthly,Quarterly,active
SUB000285,C000285,2023-11-16,2025-11-20,49.8,Monthly,Monthly,churned
SUB000286,C000286,2025-12-01,,1965.88,Annual,Quarterly,active
SUB000287,C000287,2022-09-11,,518.98,Annual,Annual,active
SUB000288,C000288,2024-05-29,2025-10-01,199.26,Annual,Annual,churned
SUB000289,C000289,2024-04-06,,194.79,Monthly,Monthly,active
SUB000290,C000290,2024-01-01,,319.64,Monthly,Quarterly,active
SUB000291,C000291,2025-05-14,2026-01-09,71.06,Monthly,Monthly,churned
SUB000292,C000292,2023-02-22,,269.29,Annual,Annual,active
SUB000293,C000293,2025-12-21,,65.05,Monthly,Monthly,at_risk
SUB000294,C000294,2023-05-21,,256.5,Annual,Annual,at_risk
SUB000295,C000295,2024-04-15,,463.19,Annual,Annual,active
SUB000296,C000296,2024-03-04,2025-12-28,304.65,Monthly,Monthly,churned
SUB000297,C000297,2025-07-16,,636.87,Annual,Quarterly,active
SUB000298,C000298,2023-10-30,,23.91,Monthly,Monthly,at_risk
SUB000299,C000299,2023-03-13,,80.57,Annual,Annual,active
SUB000300,C000300,2022-02-09,,331.65,Monthly,Monthly,at_risk
SUB000301,C000301,2023-07-07,,1489.17,Annual,Quarterly,active
SUB000302,C000302,2025-06-11,,68.11,Annual,Quarterly,active
SUB000303,C000303,2022-01-25,,92.7,Monthly,Monthly,active
SUB000304,C000304,2025-09-28,,552.13,Monthly,Monthly,active
SUB000305,C000305,2024-04-16,2025-07-09,899.25,Annual,Annual,churned
SUB000306,C000306,2022-08-14,,148.46,Monthly,Monthly,active
SUB000307,C000307,2023-04-05,,242.84,Annual,Annual,active
SUB000308,C000308,2024-05-06,2025-11-15,37.69,Monthly,Monthly,churned
SUB000309,C000309,2023-05-05,,185.7,Monthly,Monthly,active
SUB000310,C000310,2022-06-27,2026-01-27,20.0,Monthly,Monthly,churned
SUB000311,C000311,2024-10-16,,308.61,Annual,Annual,active
SUB000312,C000312,2024-10-18,,54.85,Monthly,Monthly,active
SUB000313,C000313,2022-07-13,,138.36,Monthly,Monthly,active
SUB000314,C000314,2023-03-12,,266.39,Annual,Annual,active
SUB000315,C000315,2023-01-06,2025-12-23,43.93,Monthly,Monthly,churned
SUB000316,C000316,2024-10-01,,528.31,Annual,Annual,active
SUB000317,C000317,2025-01-18,,154.58,Monthly,Monthly,active
SUB000318,C000318,2025-01-15,,471.93,Annual,Annual,active
SUB000319,C000319,2025-12-03,,2093.96,Annual,Annual,active
SUB000320,C000320,2025-03-20,2026-02-15,139.48,Monthly,Monthly,churned
SUB000321,C000321,2023-05-16,,2956.54,Annual,Quarterly,active
SUB000322,C000322,2022-06-27,,303.61,Annual,Annual,active
SUB000323,C000323,2024-08-02,,345.98,Monthly,Quarterly,active
SUB000324,C000324,2025-11-02,,734.14,Annual,Annual,at_risk
SUB000325,C000325,2026-02-03,,138.76,Monthly,Monthly,active
SUB000326,C000326,2022-12-20,,142.51,Monthly,Monthly,active
SUB000327,C000327,2023-01-03,,501.73,Monthly,Monthly,active
SUB000328,C000328,2022-03-07,,1945.93,Annual,Annual,active
SUB000329,C000329,2022-08-07,,90.01,Annual,Quarterly,at_risk
SUB000330,C000330,2024-05-07,2025-09-27,30.09,Monthly,Monthly,churned
SUB000331,C000331,2024-04-14,2026-02-18,66.97,Annual,Annual,churned
SUB000332,C000332,2023-07-18,,21.22,Monthly,Quarterly,at_risk
SUB000333,C000333,2023-04-21,,426.99,Monthly,Monthly,active
SUB000334,C000334,2025-06-27,2026-01-18,286.21,Monthly,Monthly,churned
SUB000335,C000335,2023-12-06,,253.62,Monthly,Monthly,at_risk
SUB000336,C000336,2025-05-16,2026-02-25,26.78,Monthly,Monthly,churned
SUB000337,C000337,2026-01-17,,60.75,Monthly,Quarterly,active
SUB000338,C000338,2023-04-30,,278.7,Monthly,Monthly,active
SUB000339,C000339,2022-11-07,,182.24,Monthly,Monthly,active
SUB000340,C000340,2026-01-01,,206.7,Annual,Quarterly,active
SUB000341,C000341,2024-08-26,2026-01-04,81.61,Monthly,Monthly,churned
SUB000342,C000342,2023-03-19,,1477.32,Annual,Annual,active
SUB000343,C000343,2024-08-09,,280.32,Annual,Annual,active
SUB000344,C000344,2024-03-04,2025-06-13,168.99,Monthly,Monthly,churned
SUB000345,C000345,2025-10-19,,1559.35,Monthly,Monthly,active
SUB000346,C000346,2023-01-26,,131.53,Monthly,Monthly,active
SUB000347,C000347,2026-02-19,,985.77,Monthly,Monthly,active
SUB000348,C000348,2025-12-02,,202.63,Annual,Annual,active
SUB000349,C000349,2022-10-11,2025-08-12,259.77,Monthly,Monthly,churned
SUB000350,C000350,2022-09-17,,231.23,Monthly,Monthly,active
SUB000351,C000351,2024-03-26,,431.9,Monthly,Monthly,active
SUB000352,C000352,2022-03-22,,423.93,Monthly,Monthly,active
SUB000353,C000353,2023-04-01,,1188.61,Annual,Annual,active
SUB000354,C000354,2023-11-05,,210.11,Monthly,Quarterly,active
SUB000355,C000355,2026-01-27,,123.35,Monthly,Monthly,active
SUB000356,C000356,2026-02-27,,949.31,Monthly,Quarterly,active
SUB000357,C000357,2022-08-25,,336.29,Monthly,Monthly,active
SUB000358,C000358,2025-09-22,,1575.28,Monthly,Monthly,active
SUB000359,C000359,2022-05-25,,49.61,Annual,Annual,active
SUB000360,C000360,2025-02-13,,380.65,Monthly,Monthly,active
SUB000361,C000361,2025-07-12,,381.5,Monthly,Monthly,active
SUB000362,C000362,2025-09-25,,45.14,Monthly,Monthly,active
SUB000363,C000363,2022-12-14,2025-11-23,47.95,Annual,Annual,churned
SUB000364,C000364,2025-09-27,,348.03,Monthly,Monthly,active
SUB000365,C000365,2022-07-03,2026-01-17,56.03,Monthly,Monthly,churned
SUB000366,C000366,2024-02-29,,1324.13,Annual,Annual,active
SUB000367,C000367,2023-12-28,,102.26,Monthly,Quarterly,active
SUB000368,C000368,2023-05-10,2025-12-06,45.44,Monthly,Monthly,churned
SUB000369,C000369,2022-02-06,2026-01-01,72.36,Monthly,Quarterly,churned
SUB000370,C000370,2025-03-23,,2462.84,Annual,Annual,at_risk
SUB000371,C000371,2023-06-04,2026-02-11,161.54,Monthly,Monthly,churned
SUB000372,C000372,2024-10-02,2026-01-25,163.82,Annual,Annual,churned
SUB000373,C000373,2023-09-17,2025-10-24,138.49,Annual,Annual,churned
SUB000374,C000374,2023-08-04,,130.87,Monthly,Monthly,at_risk
SUB000375,C000375,2025-09-11,,312.63,Annual,Quarterly,active
SUB000376,C000376,2022-06-01,2025-03-08,85.84,Monthly,Monthly,churned
SUB000377,C000377,2025-02-06,,120.81,Monthly,Monthly,active
SUB000378,C000378,2025-02-19,2026-01-13,82.61,Monthly,Monthly,churned
SUB000379,C000379,2023-08-05,,45.44,Monthly,Quarterly,active
SUB000380,C000380,2023-02-05,2026-02-02,139.32,Monthly,Quarterly,churned
SUB000381,C000381,2022-01-19,2026-01-14,46.66,Monthly,Monthly,churned
SUB000382,C000382,2025-11-30,,775.88,Monthly,Monthly,active
SUB000383,C000383,2025-12-25,,840.18,Annual,Annual,active
SUB000384,C000384,2023-01-11,,516.77,Annual,Annual,at_risk
SUB000385,C000385,2022-02-18,,53.33,Monthly,Monthly,active
