customer_id,signup_date,segment,region,acquisition_channel,plan_type
C000043,2024-11-30,SMB,APAC,Referral,Basic
C000044,2023-06-23,Mid-Market,Europe,Affiliate,Pro
C000045,2022-04-14,Enterprise,LATAM,Partner,Enterprise
C000046,2026-01-15,SMB,Europe,Paid Search,Growth
C000047,2023-11-09,Mid-Market,APAC,Partner,Enterprise
C000048,2025-09-19,SMB,North America,Paid Search,Basic
C000049,2024-10-27,Mid-Market,North America,Organic,Growth
C000050,2025-03-29,Mid-Market,North America,Partner,Growth
C000051,2025-03-01,Mid-Market,Europe,Organic,Growth
C000052,2022-10-23,Mid-Market,Europe,Referral,Growth
C000053,2023-07-08,Startup,LATAM,Organic,Pro
C000054,2023-12-11,Mid-Market,North America,Organic,Growth
C000055,2024-01-27,Mid-Market,North America,Outbound,Pro
C000056,2022-03-08,Mid-Market,Europe,Paid Search,Growth
C000057,2024-04-10,Startup,APAC,Organic,Basic
C000058,2022-08-23,SMB,North America,Affiliate,Pro
C000059,2025-02-03,SMB,North America,Outbound,Growth
C000060,2024-11-04,Startup,North America,Affiliate,Basic
C000061,2025-11-03,SMB,Europe,Affiliate,Pro
C000062,2025-02-06,SMB,North America,Outbound,Growth
C000063,2023-07-12,Mid-Market,North America,Paid Search,Growth
C000064,2026-01-10,SMB,Europe,Outbound,Growth
C000065,2023-09-17,Mid-Market,North America,Outbound,Pro
C000066,2023-05-11,SMB,Europe,Referral,Growth
C000067,2025-10-08,Mid-Market,North America,Outbound,Pro
C000068,2023-07-18,SMB,APAC,Affiliate,Growth
C000069,2022-04-27,SMB,Europe,Affiliate,Growth
C000070,2023-12-15,Mid-Market,North America,Outbound,Pro
C000071,2025-04-24,Enterprise,North America,Partner,Pro
C000072,2022-10-15,SMB,Europe,Partner,Growth
C000073,2023-12-05,SMB,APAC,Paid Search,Basic
C000074,2022-07-17,Mid-Market,North America,Affiliate,Growth
C000075,2024-11-09,Mid-Market,North America,Outbound,Growth
C000076,2023-12-25,Startup,North America,Affiliate,Basic
C000077,2023-05-17,SMB,Europe,Affiliate,Growth
C000078,2022-12-11,SMB,APAC,Outbound,Basic
C000079,2024-05-08,Enterprise,Europe,Organic,Pro
C000080,2024-10-15,SMB,North America,Outbound,Growth
C000081,2025-11-30,SMB,LATAM,Organic,Basic
C000082,2023-10-27,Enterprise,LATAM,Partner,Enterprise
C000083,2022-09-02,SMB,North America,Organic,Growth
C000084,2025-06-19,SMB,North America,Paid Search,Basic
C000085,2024-08-15,SMB,North America,Partner,Basic
C000086,2024-11-30,Startup,LATAM,Organic,Basic
C000087,2022-05-28,Startup,Europe,Paid Search,Basic
C000088,2023-04-20,SMB,Europe,Affiliate,Growth
C000089,2025-03-13,Mid-Market,LATAM,Organic,Pro
C000090,2025-06-19,Mid-Market,North America,Paid Search,Pro
C000091,2023-10-24,Startup,North America,Organic,Basic
C000092,2025-05-08,Mid-Market,North America,Organic,Enterprise
C000093,2025-07-03,Startup,APAC,Organic,Basic
C000094,2023-08-12,Enterprise,Europe,Paid Search,Enterprise
C000095,2025-09-27,SMB,North America,Affiliate,Pro
C000096,2023-03-15,Mid-Market,North America,Paid Search,Growth
C000097,2022-12-31,SMB,LATAM,Affiliate,Basic
C000098,2024-11-03,Mid-Market,LATAM,Paid Search,Growth
C000099,2024-08-25,SMB,Europe,Affiliate,Pro
C000100,2022-08-01,Mid-Market,North America,Outbound,Growth
C000101,2025-06-19,SMB,APAC,Partner,Pro
C000102,2022-10-31,Enterprise,LATAM,Organic,Pro
C000103,2025-05-08,SMB,Europe,Organic,Growth
C000104,2022-01-12,Mid-Market,Europe,Paid Search,Pro
C000105,2025-04-26,Enterprise,APAC,Partner,Pro
C000106,2025-04-11,Enterprise,APAC,Organic,Pro
C000107,2025-04-01,SMB,Europe,Outbound,Pro
C000108,2024-10-07,SMB,Europe,Outbound,Basic
C000109,2023-12-18,SMB,North America,Referral,Pro
C000110,2024-12-07,SMB,LATAM,Organic,Enterprise
C000111,2023-02-26,Mid-Market,Europe,Organic,Basic
C000112,2025-04-01,Enterprise,North America,Partner,Pro
C000113,2024-04-24,Enterprise,North America,Outbound,Pro
C000114,2023-11-29,SMB,APAC,Paid Search,Growth
C000115,2024-02-08,Mid-Market,APAC,Organic,Enterprise
C000116,2024-05-14,Enterprise,APAC,Partner,Enterprise
C000117,2022-02-26,Enterprise,Europe,Organic,Enterprise
C000118,2022-08-01,SMB,LATAM,Partner,Basic
C000119,2023-01-09,SMB,LATAM,Partner,Growth
C000120,2022-06-24,Mid-Market,North America,Paid Search,Growth
C000121,2023-10-31,SMB,North America,Paid Search,Pro
C000122,2024-10-12,SMB,APAC,Outbound,Basic
C000123,2024-09-21,Enterprise,North America,Organic,Growth
C000124,2023-12-18,Enterprise,Europe,Outbound,Basic
C000125,2025-07-23,Enterprise,Europe,Organic,Pro
C000126,2024-05-09,Mid-Market,Europe,Referral,Growth
C000127,2022-05-01,SMB,North America,Outbound,Basic
C000128,2025-03-08,SMB,LATAM,Paid Search,Pro
C000129,2024-05-23,SMB,North America,Organic,Pro
C000130,2024-08-22,Mid-Market,LATAM,Partner,Growth
C000131,2024-05-09,SMB,North America,Affiliate,Pro
C000132,2024-04-21,Mid-Market,Europe,Outbound,Growth
C000133,2022-05-18,SMB,LATAM,Paid Search,Pro
C000134,2024-04-29,Mid-Market,North America,Organic,Growth
C000135,2025-04-23,SMB,North America,Paid Search,Growth
C000136,2023-04-08,SMB,LATAM,Organic,Growth
C000137,2024-07-05,Startup,North America,Organic,Basic
C000138,2022-02-16,SMB,North America,Paid Search,Growth
C000139,2023-06-13,Enterprise,Europe,Outbound,Enterprise
C000140,2023-10-26,SMB,APAC,Organic,Growth
C000141,2026-02-02,SMB,Europe,Affiliate,Basic
C000142,2022-11-23,Mid-Market,North America,Paid Search,Growth
C000143,2023-02-25,Mid-Market,APAC,Affiliate,Pro
C000144,2023-09-13,Startup,Europe,Referral,Basic
C000145,2026-02-17,SMB,Europe,Partner,Basic
C000146,2025-07-21,SMB,Europe,Organic,Growth
C000147,2022-02-22,Mid-Market,North America,Organic,Growth
C000148,2022-12-22,SMB,North America,Referral,Growth
C000149,2025-06-02,Startup,Europe,Partner,Basic
C000150,2022-03-30,Startup,North America,Organic,Growth
C000151,2025-07-24,Mid-Market,Europe,Organic,Pro
C000152,2023-03-04,Startup,North America,Outbound,Growth
C000153,2025-10-26,Enterprise,North America,Outbound,Enterprise
C000154,2023-03-23,Startup,North America,Partner,Basic
C000155,2023-10-23,Mid-Market,Europe,Outbound,Enterprise
C000156,2024-10-03,SMB,LATAM,Referral,Growth
C000157,2022-07-11,SMB,North America,Partner,Growth
C000158,2024-04-26,Startup,North America,Affiliate,Basic
C000159,2024-02-07,Mid-Market,North America,Partner,Pro
C000160,2025-04-06,Enterprise,LATAM,Referral,Pro
C000161,2026-02-23,Startup,North America,Paid Search,Growth
C000162,2024-10-06,SMB,LATAM,Paid Search,Pro
C000163,2023-09-14,Enterprise,North America,Paid Search,Enterprise
C000164,2023-09-10,SMB,North America,Partner,Pro
C000165,2023-09-28,Startup,LATAM,Paid Search,Growth
C000166,2025-05-22,SMB,Europe,Referral,Pro
C000167,2023-05-04,Mid-Market,North America,Partner,Enterprise
C000168,2022-09-11,Mid-Market,APAC,Organic,Basic
C000169,2023-05-24,Mid-Market,North America,Outbound,Pro
C000170,2022-02-04,Enterprise,North America,Outbound,Pro
C000171,2022-06-11,SMB,North America,Partner,Basic
C000172,2022-05-17,SMB,Europe,Affiliate,Basic
C000173,2025-03-18,SMB,LATAM,Organic,Growth
C000174,2025-01-02,SMB,North America,Partner,Basic
C000175,2024-11-25,SMB,APAC,Paid Search,Basic
C000176,2023-12-04,Startup,Europe,Paid Search,Basic
C000177,2024-12-25,SMB,APAC,Affiliate,Growth
C000178,2022-09-03,Mid-Market,LATAM,Outbound,Pro
C000179,2025-09-30,Startup,APAC,Paid Search,Enterprise
C000180,2024-02-01,SMB,Europe,Partner,Growth
C000181,2025-11-26,Mid-Market,North America,Paid Search,Growth
C000182,2022-08-20,Mid-Market,Europe,Referral,Pro
C000183,2024-01-26,Mid-Market,Europe,Organic,Basic
C000184,2024-11-24,Mid-Market,Europe,Outbound,Enterprise
C000185,2024-01-24,Mid-Market,LATAM,Outbound,Pro
C000186,2023-11-10,Startup,North America,Outbound,Basic
C000187,2022-09-10,SMB,LATAM,Organic,Basic
C000188,2023-08-03,Mid-Market,North America,Organic,Basic
C000189,2022-12-29,SMB,APAC,Paid Search,Growth
C000190,2023-04-04,Startup,North America,Outbound,Basic
C000191,2024-11-05,SMB,North America,Organic,Pro
C000192,2024-08-16,SMB,LATAM,Organic,Growth
C000193,2024-07-11,SMB,LATAM,Organic,Growth
C000194,2023-07-04,SMB,LATAM,Affiliate,Basic
C000195,2025-12-29,Mid-Market,APAC,Outbound,Growth
C000196,2022-05-14,Enterprise,North America,Affiliate,Growth
C000197,2023-06-05,SMB,LATAM,Organic,Growth
C000198,2022-06-29,Enterprise,North America,Outbound,Enterprise
C000199,2023-05-31,Startup,Europe,Paid Search,Growth
C000200,2026-01-02,Enterprise,Europe,Organic,Pro
C000201,2023-07-11,Enterprise,North America,Referral,Pro
C000202,2025-10-13,Startup,Europe,Paid Search,Growth
C000203,2024-01-23,Mid-Market,LATAM,Referral,Pro
C000204,2024-11-29,Enterprise,North America,Outbound,Enterprise
C000205,2023-11-27,Enterprise,APAC,Partner,Pro
C000206,2023-02-09,Enterprise,Europe,Partner,Enterprise
C000207,2025-03-07,Mid-Market,North America,Paid Search,Growth
C000208,2026-01-13,Startup,Europe,Paid Search,Basic
C000209,2023-02-05,Enterprise,North America,Organic,Enterprise
C000210,2025-03-29,Mid-Market,North America,Paid Search,Basic
C000211,2023-02-01,Mid-Market,Europe,Organic,Pro
C000212,2024-12-25,SMB,North America,Partner,Basic
C000213,2025-04-14,Mid-Market,North America,Paid Search,Basic
C000214,2023-11-15,Startup,LATAM,Paid Search,Basic
C000215,2025-01-25,Mid-Market,North America,Partner,Pro
C000216,2023-02-18,Startup,LATAM,Organic,Growth
C000217,2022-05-01,Mid-Market,LATAM,Partner,Growth
C000218,2022-05-27,Enterprise,North America,Partner,Growth
C000219,2023-11-11,SMB,Europe,Outbound,Basic
C000220,2025-10-03,SMB,North America,Paid Search,Basic
C000221,2022-07-13,SMB,Europe,Outbound,Growth
C000222,2023-11-24,Enterprise,North America,Partner,Pro
C000223,2024-12-06,Mid-Market,APAC,Outbound,Growth
C000224,2022-11-04,SMB,North America,Organic,Basic
C000225,2025-01-01,SMB,Europe,Referral,Growth
C000226,2023-04-11,SMB,North America,Organic,Growth
C000227,2025-05-14,SMB,North America,Organic,Growth
C000228,2024-05-30,Enterprise,Europe,Outbound,Pro
C000229,2024-04-11,Mid-Market,Europe,Affiliate,Enterprise
C000230,2022-09-26,SMB,APAC,Paid Search,Growth
C000231,2023-12-06,Enterprise,North America,Partner,Enterprise
C000232,2025-07-26,SMB,North America,Paid Search,Growth
C000233,2022-01-30,Enterprise,North America,Paid Search,Growth
C000234,2025-02-26,SMB,North America,Affiliate,Pro
C000235,2024-01-19,Mid-Market,APAC,Paid Search,Pro
C000236,2024-12-29,Enterprise,APAC,Outbound,Enterprise
C000237,2024-10-05,SMB,APAC,Referral,Basic
C000238,2023-10-19,Mid-Market,North America,Outbound,Growth
C000239,2023-04-15,Enterprise,Europe,Organic,Enterprise
C000240,2024-08-11,Startup,LATAM,Paid Search,Basic
C000241,2022-08-02,Startup,North America,Affiliate,Basic
C000242,2024-06-06,Mid-Market,Europe,Organic,Growth
C000243,2022-05-24,SMB,North America,Organic,Growth
C000244,2024-09-14,Startup,North America,Paid Search,Growth
C000245,2024-08-13,SMB,APAC,Partner,Growth
C000246,2022-05-09,Mid-Market,North America,Outbound,Enterprise
C000247,2025-02-25,SMB,APAC,Affiliate,Growth
C000248,2023-09-25,SMB,North America,Paid Search,Growth
C000249,2025-04-11,Enterprise,North America,Outbound,Pro
C000250,2022-03-05,SMB,North America,Paid Search,Basic
C000251,2022-09-30,Enterprise,North America,Outbound,Enterprise
C000252,2024-01-21,SMB,Europe,Referral,Basic
C000253,2022-10-14,Enterprise,North America,Partner,Pro
C000254,2023-05-17,Mid-Market,Europe,Organic,Pro
C000255,2024-10-01,Startup,APAC,Organic,Growth
C000256,2022-08-08,Enterprise,North America,Outbound,Growth
C000257,2024-10-27,SMB,North America,Organic,Growth
C000258,2022-06-07,Startup,Europe,Paid Search,Basic
C000259,2022-09-24,Startup,LATAM,Paid Search,Growth
C000260,2024-06-12,Mid-Market,Europe,Organic,Pro
C000261,2025-04-21,Startup,North America,Paid Search,Basic
C000262,2022-09-17,SMB,Europe,Paid Search,Basic
C000263,2023-04-01,Startup,Europe,Affiliate,Basic
C000264,2025-11-07,SMB,North America,Referral,Growth
C000265,2026-02-13,SMB,North America,Outbound,Growth
C000266,2024-06-02,SMB,APAC,Affiliate,Growth
C000267,2023-11-11,SMB,North America,Paid Search,Growth
C000268,2023-06-12,Startup,North America,Paid Search,Basic
C000269,2024-07-19,Mid-Market,North America,Affiliate,Basic
C000270,2024-06-17,SMB,Europe,Affiliate,Basic
C000271,2023-03-25,Mid-Market,Europe,Referral,Growth
C000272,2022-02-04,Startup,North America,Outbound,Growth
C000273,2022-08-19,Startup,Europe,Outbound,Pro
C000274,2025-12-28,SMB,Europe,Paid Search,Basic
C000275,2023-09-28,SMB,North America,Affiliate,Growth
C000276,2024-01-04,SMB,APAC,Paid Search,Basic
C000277,2023-12-12,Mid-Market,North America,Affiliate,Pro
C000278,2025-04-04,SMB,North America,Affiliate,Basic
C000279,2022-04-09,SMB,APAC,Organic,Growth
C000280,2022-05-06,Mid-Market,LATAM,Organic,Growth
C000281,2023-02-24,Startup,North America,Partner,Basic
C000282,2024-01-10,SMB,LATAM,Outbound,Growth
C000283,2024-10-17,SMB,Europe,Partner,Growth
C000284,2024-01-16,SMB,North America,Outbound,Growth
C000285,2023-11-02,Startup,LATAM,Paid Search,Basic
C000286,2025-11-26,Mid-Market,LATAM,Referral,Enterprise
C000287,2022-09-02,Enterprise,North America,Outbound,Pro
C000288,2024-05-19,Startup,Europe,Paid Search,Growth
C000289,2024-04-04,Mid-Market,North America,Partner,Pro
C000290,2023-12-21,Mid-Market,North America,Organic,Pro
C000291,2025-05-12,SMB,APAC,Organic,Basic
C000292,2023-02-10,Mid-Market,Europe,Organic,Pro
C000293,2025-12-20,Mid-Market,Europe,Partner,Basic
C000294,2023-05-19,Enterprise,Europe,Paid Search,Pro
C000295,2024-04-08,Enterprise,Europe,Partner,Pro
C000296,2024-03-02,Startup,North America,Organic,Growth
C000297,2025-07-15,SMB,APAC,Referral,Pro
C000298,2023-10-30,SMB,Europe,Partner,Basic
C000299,2023-03-09,Startup,Europe,Outbound,Basic
C000300,2022-02-02,SMB,Europe,Partner,Growth
C000301,2023-07-07,Enterprise,North America,Organic,Pro
C000302,2025-06-09,Startup,North America,Paid Search,Basic
C000303,2022-01-16,SMB,North America,Outbound,Growth
C000304,2025-09-24,Enterprise,North America,Outbound,Pro
C000305,2024-04-05,SMB,Europe,Affiliate,Pro
C000306,2022-08-02,SMB,APAC,Outbound,Growth
C000307,2023-04-05,Enterprise,North America,Paid Search,Growth
C000308,2024-04-22,SMB,North America,Outbound,Basic
C000309,2023-04-25,Startup,Europe,Organic,Growth
C000310,2022-06-15,Startup,North America,Affiliate,Basic
C000311,2024-10-09,Enterprise,APAC,Outbound,Pro
C000312,2024-10-18,SMB,North America,Outbound,Basic
C000313,2022-06-30,SMB,North America,Paid Search,Growth
C000314,2023-03-04,Startup,North America,Affiliate,Pro
C000315,2023-01-06,SMB,APAC,Organic,Basic
C000316,2024-09-29,Enterprise,North America,Paid Search,Pro
C000317,2025-01-15,SMB,Europe,Partner,Growth
C000318,2025-01-10,Enterprise,North America,Paid Search,Pro
C000319,2025-11-27,SMB,North America,Paid Search,Enterprise
C000320,2025-03-14,SMB,APAC,Partner,Growth
C000321,2023-05-03,Enterprise,North America,Referral,Enterprise
C000322,2022-06-13,SMB,North America,Referral,Pro
C000323,2024-07-23,SMB,Europe,Paid Search,Growth
C000324,2025-10-24,Enterprise,APAC,Paid Search,Pro
C000325,2026-01-22,SMB,North America,Affiliate,Growth
C000326,2022-12-16,SMB,North America,Organic,Growth
C000327,2022-12-26,Enterprise,APAC,Outbound,Pro
C000328,2022-02-26,SMB,Europe,Paid Search,Enterprise
C000329,2022-08-03,SMB,LATAM,Organic,Basic
C000330,2024-04-23,Startup,LATAM,Partner,Basic
C000331,2024-04-11,SMB,Europe,Paid Search,Basic
C000332,2023-07-18,SMB,North America,Partner,Basic
C000333,2023-04-17,Mid-Market,North America,Organic,Pro
C000334,2025-06-15,SMB,LATAM,Organic,Growth
C000335,2023-12-01,Mid-Market,LATAM,Organic,Pro
C000336,2025-05-13,SMB,APAC,Organic,Basic
C000337,2026-01-04,SMB,Europe,Referral,Basic
C000338,2023-04-28,SMB,North America,Affiliate,Growth
C000339,2022-11-05,Mid-Market,Europe,Partner,Growth
C000340,2025-12-19,SMB,Europe,Partner,Pro
C000341,2024-08-22,SMB,Europe,Paid Search,Growth
C000342,2023-03-19,Enterprise,LATAM,Partner,Enterprise
C000343,2024-08-03,Mid-Market,Europe,Organic,Pro
C000344,2024-02-22,SMB,North America,Referral,Growth
C000345,2025-10-08,Enterprise,Europe,Referral,Enterprise
C000346,2023-01-25,SMB,Europe,Paid Search,Growth
C000347,2026-02-15,Startup,APAC,Paid Search,Pro
C000348,2025-11-23,SMB,Europe,Partner,Growth
C000349,2022-10-02,Startup,Europe,Paid Search,Growth
C000350,2022-09-08,SMB,Europe,Outbound,Growth
C000351,2024-03-21,Mid-Market,Europe,Referral,Pro
C000352,2022-03-10,Startup,North America,Paid Search,Pro
C000353,2023-03-31,Mid-Market,APAC,Partner,Enterprise
C000354,2023-10-24,Enterprise,APAC,Outbound,Growth
C000355,2026-01-13,Mid-Market,Europe,Affiliate,Growth
C000356,2026-02-17,Mid-Market,Europe,Affiliate,Pro
C000357,2022-08-19,Mid-Market,North America,Organic,Pro
C000358,2025-09-17,Enterprise,Europe,Partner,Enterprise
C000359,2022-05-19,SMB,Europe,Affiliate,Basic
C000360,2025-02-11,SMB,LATAM,Partner,Pro
C000361,2025-07-09,SMB,North America,Outbound,Growth
C000362,2025-09-16,SMB,LATAM,Partner,Basic
C000363,2022-12-06,SMB,North America,Paid Search,Basic
C000364,2025-09-20,Mid-Market,Europe,Partner,Pro
C000365,2022-06-26,Startup,Europe,Paid Search,Basic
C000366,2024-02-28,Enterprise,North America,Outbound,Enterprise
C000367,2023-12-15,SMB,Europe,Organic,Growth
C000368,2023-04-26,Startup,LATAM,Paid Search,Basic
C000369,2022-02-03,Startup,Europe,Paid Search,Basic
C000370,2025-03-19,SMB,North America,Outbound,Enterprise
C000371,2023-05-26,SMB,Europe,Paid Search,Growth
C000372,2024-10-02,Startup,North America,Outbound,Growth
C000373,2023-09-16,SMB,Europe,Outbound,Growth
C000374,2023-07-22,SMB,Europe,Partner,Growth
C000375,2025-09-09,SMB,North America,Outbound,Pro
C000376,2022-05-24,SMB,Europe,Outbound,Growth
C000377,2025-01-24,SMB,LATAM,Referral,Growth
C000378,2025-02-09,SMB,LATAM,Paid Search,Basic
C000379,2023-08-01,Startup,North America,Referral,Basic
C000380,2023-02-03,Startup,North America,Paid Search,Growth
C000381,2022-01-09,SMB,Europe,Organic,Basic
C000382,2025-11-24,Mid-Market,North America,Affiliate,Pro
C000383,2025-12-11,Enterprise,Europe,Partner,Enterprise
C000384,2023-01-02,Enterprise,North America,Paid Search,Pro
C000385,2022-02-18,SMB,North America,Organic,Basic
C000386,2022-07-06,SMB,Europe,Paid Search,Growth
C000387,2022-04-13,SMB,North America,Paid Search,Basic
C000388,2025-06-17,Mid-Market,LATAM,Paid Search,Pro
C000389,2025-09-17,Mid-Market,North America,Referral,Pro
C000390,2022-08-21,Enterprise,Europe,Organic,Pro
C000391,2025-02-09,Enterprise,Europe,Partner,Pro
C000392,2022-09-30,SMB,LATAM,Outbound,Growth
C000393,2023-07-13,Mid-Market,LATAM,Organic,Growth
C000394,2024-06-30,Mid-Market,North America,Paid Search,Growth
C000395,2024-12-30,SMB,Europe,Organic,Growth
C000396,2025-08-22,Enterprise,North America,Outbound,Enterprise
C000397,2022-03-10,Startup,Europe,Referral,Basic
C000398,2022-10-26,Enterprise,North America,Partner,Pro
C000399,2023-03-03,Mid-Market,Europe,Partner,Growth
C000400,2023-04-17,Startup,North America,Organic,Basic
C000401,2026-02-26,Mid-Market,APAC,Referral,Basic
C000402,2025-03-27,Startup,Europe,Partner,Growth
C000403,2023-05-03,Mid-Market,Europe,Partner,Basic
C000404,2026-01-17,Mid-Market,North America,Outbound,Pro
C000405,2024-01-29,Mid-Market,North America,Partner,Growth
C000406,2024-02-01,Enterprise,North America,Outbound,Pro
C000407,2023-10-22,Startup,APAC,Paid Search,Basic
C000408,2022-08-07,SMB,LATAM,Organic,Growth
C000409,2025-11-21,SMB,North America,Referral,Pro
C000410,2022-01-22,Startup,LATAM,Paid Search,Basic
C000411,2022-09-22,SMB,Europe,Referral,Pro
C000412,2022-12-16,SMB,North America,Outbound,Basic
C000413,2023-03-01,SMB,Europe,Paid Search,Growth
C000414,2022-07-20,SMB,North America,Paid Search,Growth
C000415,2022-01-28,Enterprise,North America,Partner,Pro
C000416,2024-10-27,SMB,Europe,Partner,Growth
C000417,2026-01-13,Enterprise,North America,Paid Search,Growth
C000418,2022-07-05,SMB,APAC,Organic,Growth
C000419,2023-03-27,SMB,Europe,Organic,Growth
C000420,2024-02-09,SMB,LATAM,Referral,Pro
C000421,2025-11-10,SMB,Europe,Organic,Basic
C000422,2024-11-21,SMB,APAC,Paid Search,Pro
C000423,2025-03-10,SMB,North America,Organic,Basic
C000424,2024-06-02,Startup,Europe,Organic,Growth
C000425,2023-09-26,SMB,Europe,Outbound,Basic
C000426,2022-10-31,Mid-Market,APAC,Outbound,Growth
C000427,2025-08-06,SMB,North America,Paid Search,Basic
C000428,2025-05-07,Mid-Market,Europe,Partner,Pro
C000429,2022-02-08,SMB,LATAM,Affiliate,Basic
C000430,2024-12-23,Enterprise,North America,Organic,Pro
C000431,2022-05-09,Mid-Market,APAC,Partner,Enterprise
C000432,2025-01-28,Enterprise,North America,Organic,Pro
C000433,2025-06-09,Mid-Market,North America,Partner,Basic
C000434,2022-07-19,Startup,Europe,Outbound,Basic
C000435,2023-10-22,SMB,Europe,Affiliate,Basic
C000436,2022-07-08,SMB,North America,Outbound,Growth
C000437,2024-05-12,Mid-Market,North America,Affiliate,Pro
C000438,2025-11-10,Mid-Market,North America,Paid Search,Growth
C000439,2022-05-03,SMB,LATAM,Affiliate,Basic
C000440,2023-08-28,Enterprise,APAC,Paid Search,Enterprise
C000441,2026-01-19,Startup,Europe,Paid Search,Basic
C000442,2023-04-03,Mid-Market,North America,Referral,Pro
C000443,2022-07-20,Mid-Market,Europe,Partner,Enterprise
C000444,2024-01-13,Startup,LATAM,Referral,Basic
C000445,2024-02-12,Mid-Market,LATAM,Partner,Growth
C000446,2024-10-04,Mid-Market,North America,Organic,Pro
C000447,2023-04-22,Startup,North America,Paid Search,Growth
C000448,2025-12-23,SMB,APAC,Referral,Growth
C000449,2024-03-02,SMB,LATAM,Referral,Pro
C000450,2023-03-12,Mid-Market,North America,Partner,Pro
C000451,2025-12-30,Startup,LATAM,Organic,Growth
C000452,2025-11-06,Enterprise,North America,Outbound,Enterprise
C000453,2024-01-29,Enterprise,North America,Partner,Enterprise
C000454,2022-02-07,SMB,LATAM,Partner,Growth
C000455,2024-06-26,SMB,Europe,Organic,Growth
C000456,2024-04-23,Mid-Market,Europe,Outbound,Pro
C000457,2022-08-14,Mid-Market,APAC,Paid Search,Growth
C000458,2024-08-21,SMB,LATAM,Partner,Basic
C000459,2025-07-02,Startup,North America,Referral,Basic
C000460,2022-06-10,Startup,Europe,Affiliate,Basic
C000461,2025-01-04,Enterprise,LATAM,Outbound,Enterprise
C000462,2022-08-02,SMB,Europe,Partner,Basic
C000463,2025-02-12,Enterprise,APAC,Organic,Enterprise
C000464,2023-09-30,SMB,Europe,Organic,Growth
C000465,2022-01-10,Enterprise,North America,Organic,Growth
C000466,2026-01-08,Startup,North America,Affiliate,Basic
C000467,2022-09-10,Startup,LATAM,Outbound,Basic
C000468,2024-06-24,Enterprise,APAC,Outbound,Enterprise
C000469,2022-10-03,Enterprise,North America,Outbound,Pro
C000470,2025-11-19,SMB,North America,Organic,Basic
C000471,2025-01-27,SMB,LATAM,Outbound,Basic
C000472,2025-05-07,SMB,North America,Referral,Basic
C000473,2023-10-19,SMB,North America,Referral,Basic
C000474,2023-12-12,SMB,APAC,Paid Search,Enterprise
C000475,2024-08-22,Enterprise,LATAM,Organic,Growth
C000476,2025-04-07,SMB,APAC,Affiliate,Basic
C000477,2025-07-11,Mid-Market,Europe,Outbound,Pro
C000478,2022-01-28,Startup,North America,Affiliate,Growth
C000479,2024-10-05,Startup,APAC,Affiliate,Basic
C000480,2022-06-15,Mid-Market,North America,Partner,Pro
C000481,2023-03-14,SMB,North America,Organic,Pro
C000482,2025-06-14,Mid-Market,APAC,Outbound,Basic
