payment_id,customer_id,payment_date,amount,payment_status
PAY00000087,C000007,2023-11-13,139.32,paid
PAY00000088,C000007,2023-12-13,140.0,paid
PAY00000089,C000007,2024-01-13,134.01,paid
PAY00000090,C000007,2024-02-13,145.57,paid
PAY00000091,C000007,2024-03-13,138.53,paid
PAY00000092,C000007,2024-04-13,142.71,paid
PAY00000093,C000007,2024-05-13,138.6,paid
PAY00000094,C000007,2024-06-13,138.8,paid
PAY00000095,C000007,2024-07-13,135.89,paid
PAY00000096,C000007,2024-08-13,136.36,paid
PAY00000097,C000007,2024-09-13,131.43,paid
PAY00000098,C000007,2024-10-13,144.67,paid
PAY00000099,C000007,2024-11-13,142.01,paid
PAY00000100,C000007,2024-12-13,135.88,paid
PAY00000101,C000007,2025-01-13,138.26,paid
PAY00000102,C000007,2025-02-13,140.05,paid
PAY00000103,C000007,2025-03-13,134.26,paid
PAY00000104,C000007,2025-04-13,135.57,paid
PAY00000105,C000007,2025-05-13,137.77,paid
PAY00000106,C000007,2025-06-13,142.99,paid
PAY00000107,C000007,2025-07-13,135.79,failed
PAY00000108,C000007,2025-08-13,140.15,paid
PAY00000109,C000007,2025-09-13,144.44,paid
PAY00000110,C000007,2025-10-13,142.06,paid
PAY00000111,C000007,2025-11-13,133.89,paid
PAY00000112,C000007,2025-12-13,136.47,paid
PAY00000113,C000007,2026-01-13,137.8,paid
PAY00000114,C000007,2026-02-13,135.33,paid
PAY00000115,C000008,2024-12-03,27.14,paid
PAY00000116,C000008,2025-01-03,29.17,paid
PAY00000117,C000008,2025-02-03,27.56,paid
PAY00000118,C000008,2025-03-03,28.03,paid
PAY00000119,C000008,2025-04-03,28.73,paid
PAY00000120,C000008,2025-05-03,28.48,paid
PAY00000121,C000008,2025-06-03,27.91,paid
PAY00000122,C000008,2025-07-03,29.59,paid
PAY00000123,C000008,2025-08-03,27.74,paid
PAY00000124,C000008,2025-09-03,29.05,paid
PAY00000125,C000008,2025-10-03,28.86,paid
PAY00000126,C000008,2025-11-03,28.9,paid
PAY00000127,C000008,2025-12-03,27.36,paid
PAY00000128,C000008,2026-01-03,28.43,paid
PAY00000129,C000008,2026-02-03,28.66,paid
PAY00000130,C000009,2022-11-12,669.31,paid
PAY00000131,C000009,2022-12-12,659.6,paid
PAY00000132,C000009,2023-01-12,672.81,failed
PAY00000133,C000009,2023-02-12,660.51,paid
PAY00000134,C000009,2023-03-12,648.57,paid
PAY00000135,C000009,2023-04-12,649.53,paid
PAY00000136,C000009,2023-05-12,670.13,paid
PAY00000137,C000009,2023-06-12,650.24,paid
PAY00000138,C000009,2023-07-12,674.18,paid
PAY00000139,C000009,2023-08-12,650.13,paid
PAY00000140,C000009,2023-09-12,643.69,paid
PAY00000141,C000009,2023-10-12,694.72,paid
PAY00000142,C000009,2023-11-12,684.58,paid
PAY00000143,C000009,2023-12-12,664.47,paid
PAY00000144,C000009,2024-01-12,654.44,paid
PAY00000145,C000009,2024-02-12,674.5,paid
PAY00000146,C000009,2024-03-12,699.27,paid
PAY00000147,C000009,2024-04-12,656.27,paid
PAY00000148,C000009,2024-05-12,693.83,paid
PAY00000149,C000009,2024-06-12,654.36,paid
PAY00000150,C000009,2024-07-12,638.99,paid
PAY00000151,C000009,2024-08-12,663.57,paid
PAY00000152,C000009,2024-09-12,636.26,paid
PAY00000153,C000009,2024-10-12,673.57,paid
PAY00000154,C000009,2024-11-12,642.65,paid
PAY00000155,C000009,2024-12-12,670.92,paid
PAY00000156,C000009,2025-01-12,677.42,paid
PAY00000157,C000009,2025-02-12,691.8,paid
PAY00000158,C000009,2025-03-12,639.17,paid
PAY00000159,C000009,2025-04-12,652.07,paid
PAY00000160,C000009,2025-05-12,657.16,paid
PAY00000161,C000009,2025-06-12,671.93,paid
PAY00000162,C000009,2025-07-12,660.48,paid
PAY00000163,C000009,2025-08-12,646.16,paid
PAY00000164,C000009,2025-09-12,654.21,paid
PAY00000165,C000009,2025-10-12,666.42,paid
PAY00000166,C000009,2025-11-12,656.07,paid
PAY00000167,C000009,2025-12-12,688.76,paid
PAY00000168,C000009,2026-01-12,669.16,paid
PAY00000169,C000009,2026-02-12,646.18,paid
PAY00000170,C000010,2022-05-31,32250.95,paid
PAY00000171,C000010,2023-05-31,32784.02,paid
PAY00000172,C000010,2024-05-31,32521.92,paid
PAY00000173,C000010,2025-05-31,31913.27,paid
PAY00000174,C000011,2024-03-22,121.44,paid
PAY00000175,C000011,2024-04-22,121.83,paid
PAY00000176,C000011,2024-05-22,125.13,paid
PAY00000177,C000011,2024-06-22,124.02,paid
PAY00000178,C000011,2024-07-22,117.63,paid
PAY00000179,C000011,2024-08-22,126.65,paid
PAY00000180,C000011,2024-09-22,127.74,paid
PAY00000181,C000011,2024-10-22,120.91,paid
PAY00000182,C000011,2024-11-22,123.56,paid
PAY00000183,C000011,2024-12-22,130.21,paid
PAY00000184,C000011,2025-01-22,122.08,paid
PAY00000185,C000011,2025-02-22,122.71,paid
PAY00000186,C000011,2025-03-22,124.26,paid
PAY00000187,C000011,2025-04-22,126.16,paid
PAY00000188,C000011,2025-05-22,116.78,paid
PAY00000189,C000011,2025-06-22,121.99,paid
PAY00000190,C000011,2025-07-22,126.15,paid
PAY00000191,C000011,2025-08-22,124.37,paid
PAY00000192,C000011,2025-09-22,123.24,failed
PAY00000193,C000011,2025-10-22,122.73,paid
PAY00000194,C000012,2026-01-25,121.83,paid
PAY00000195,C000012,2026-02-25,119.89,paid
PAY00000196,C000013,2025-01-31,274.72,paid
PAY00000197,C000013,2025-02-28,262.1,paid
PAY00000198,C000013,2025-03-28,249.38,paid
PAY00000199,C000013,2025-04-28,270.55,paid
PAY00000200,C000013,2025-05-28,261.41,paid
PAY00000201,C000013,2025-06-28,263.61,paid
PAY00000202,C000013,2025-07-28,264.97,paid
PAY00000203,C000013,2025-08-28,259.89,paid
PAY00000204,C000013,2025-09-28,254.88,paid
PAY00000205,C000013,2025-10-28,270.06,paid
PAY00000206,C000013,2025-11-28,245.08,paid
PAY00000207,C000013,2025-12-28,277.89,paid
PAY00000208,C000013,2026-01-28,263.78,paid
PAY00000209,C000013,2026-02-28,249.48,paid
PAY00000210,C000014,2025-03-06,42.5,paid
PAY00000211,C000014,2025-04-06,39.44,paid
PAY00000212,C000014,2025-05-06,40.7,paid
PAY00000213,C000014,2025-06-06,43.2,paid
PAY00000214,C000014,2025-07-06,41.79,paid
PAY00000215,C000014,2025-08-06,41.63,paid
PAY00000216,C000014,2025-09-06,41.77,paid
PAY00000217,C000014,2025-10-06,40.35,paid
PAY00000218,C000014,2025-11-06,38.9,paid
PAY00000219,C000014,2025-12-06,41.83,failed
PAY00000220,C000014,2026-01-06,41.69,paid
PAY00000221,C000014,2026-02-06,41.15,failed
PAY00000222,C000015,2025-01-02,4064.25,paid
PAY00000223,C000015,2026-01-02,4002.38,failed
PAY00000224,C000016,2025-04-09,50.97,paid
PAY00000225,C000016,2025-05-09,51.98,paid
PAY00000226,C000016,2025-06-09,51.71,paid
PAY00000227,C000016,2025-07-09,51.33,paid
PAY00000228,C000016,2025-08-09,54.21,paid
PAY00000229,C000016,2025-09-09,51.97,paid
PAY00000230,C000016,2025-10-09,53.61,paid
PAY00000231,C000016,2025-11-09,53.21,failed
PAY00000232,C000016,2025-12-09,50.94,failed
PAY00000233,C000016,2026-01-09,54.21,paid
PAY00000234,C000017,2024-02-24,4698.29,paid
PAY00000235,C000017,2025-02-24,4657.03,paid
PAY00000236,C000017,2026-02-24,4534.29,paid
PAY00000237,C000018,2022-07-24,55.09,paid
PAY00000238,C000018,2022-08-24,54.79,paid
PAY00000239,C000018,2022-09-24,53.91,paid
PAY00000240,C000018,2022-10-24,56.91,paid
PAY00000241,C000018,2022-11-24,54.85,paid
PAY00000242,C000018,2022-12-24,56.41,paid
PAY00000243,C000018,2023-01-24,57.93,paid
PAY00000244,C000018,2023-02-24,57.28,paid
PAY00000245,C000018,2023-03-24,56.63,paid
PAY00000246,C000018,2023-04-24,53.39,paid
PAY00000247,C000018,2023-05-24,53.92,paid
PAY00000248,C000018,2023-06-24,55.36,paid
PAY00000249,C000018,2023-07-24,56.75,paid
PAY00000250,C000018,2023-08-24,54.82,paid
PAY00000251,C000018,2023-09-24,54.79,paid
PAY00000252,C000018,2023-10-24,57.85,paid
PAY00000253,C000018,2023-11-24,55.88,paid
PAY00000254,C000018,2023-12-24,53.98,paid
PAY00000255,C000018,2024-01-24,56.79,paid
PAY00000256,C000018,2024-02-24,54.4,failed
PAY00000257,C000018,2024-03-24,56.75,paid
PAY00000258,C000018,2024-04-24,55.65,paid
PAY00000259,C000018,2024-05-24,56.28,paid
PAY00000260,C000018,2024-06-24,54.75,paid
PAY00000261,C000018,2024-07-24,55.57,paid
PAY00000262,C000018,2024-08-24,55.37,paid
PAY00000263,C000018,2024-09-24,54.91,paid
PAY00000264,C000018,2024-10-24,55.62,paid
PAY00000265,C000018,2024-11-24,53.4,paid
PAY00000266,C000018,2024-12-24,57.18,paid
PAY00000267,C000018,2025-01-24,57.09,paid
PAY00000268,C000018,2025-02-24,55.7,paid
PAY00000269,C000018,2025-03-24,55.74,paid
PAY00000270,C000018,2025-04-24,55.57,paid
PAY00000271,C000018,2025-05-24,57.17,paid
PAY00000272,C000018,2025-06-24,55.3,paid
PAY00000273,C000018,2025-07-24,57.52,paid
PAY00000274,C000018,2025-08-24,54.27,paid
PAY00000275,C000018,2025-09-24,57.53,paid
PAY00000276,C000018,2025-10-24,53.04,paid
PAY00000277,C000018,2025-11-24,55.51,paid
PAY00000278,C000018,2025-12-24,57.2,paid
PAY00000279,C000018,2026-01-24,57.44,paid
PAY00000280,C000018,2026-02-24,54.32,paid
PAY00000281,C000019,2025-07-11,46.79,failed
PAY00000282,C000019,2025-08-11,46.66,paid
PAY00000283,C000019,2025-09-11,46.86,paid
PAY00000284,C000019,2025-10-11,49.16,paid
PAY00000285,C000019,2025-11-11,49.34,paid
PAY00000286,C000019,2025-12-11,47.69,failed
PAY00000287,C000019,2026-01-11,45.17,paid
PAY00000288,C000019,2026-02-11,45.65,failed
PAY00000289,C000020,2023-11-20,3023.74,paid
PAY00000290,C000020,2024-11-20,2980.03,paid
PAY00000291,C000020,2025-11-20,2944.53,paid
PAY00000292,C000021,2024-02-03,683.25,paid
PAY00000293,C000021,2024-03-03,645.52,paid
PAY00000294,C000021,2024-04-03,631.68,paid
PAY00000295,C000021,2024-05-03,678.81,paid
PAY00000296,C000021,2024-06-03,678.16,paid
PAY00000297,C000021,2024-07-03,641.64,paid
PAY00000298,C000021,2024-08-03,641.27,paid
PAY00000299,C000021,2024-09-03,665.72,paid
PAY00000300,C000021,2024-10-03,671.11,paid
PAY00000301,C000021,2024-11-03,660.62,paid
PAY00000302,C000021,2024-12-03,657.14,paid
PAY00000303,C000021,2025-01-03,664.71,paid
PAY00000304,C000021,2025-02-03,677.36,paid
PAY00000305,C000021,2025-03-03,642.3,paid
PAY00000306,C000021,2025-04-03,668.31,paid
PAY00000307,C000021,2025-05-03,652.25,paid
PAY00000308,C000021,2025-06-03,706.69,paid
PAY00000309,C000021,2025-07-03,669.35,paid
PAY00000310,C000021,2025-08-03,692.19,paid
PAY00000311,C000021,2025-09-03,676.35,paid
PAY00000312,C000021,2025-10-03,699.33,paid
PAY00000313,C000021,2025-11-03,665.02,paid
PAY00000314,C000021,2025-12-03,667.26,paid
PAY00000315,C000021,2026-01-03,662.56,paid
PAY00000316,C000021,2026-02-03,654.22,paid
PAY00000317,C000022,2023-07-22,238.33,paid
PAY00000318,C000022,2023-08-22,248.7,paid
PAY00000319,C000022,2023-09-22,252.9,paid
PAY00000320,C000022,2023-10-22,237.8,paid
PAY00000321,C000022,2023-11-22,246.03,paid
PAY00000322,C000022,2023-12-22,243.81,paid
PAY00000323,C000022,2024-01-22,256.2,paid
PAY00000324,C000022,2024-02-22,240.28,paid
PAY00000325,C000022,2024-03-22,246.94,paid
PAY00000326,C000022,2024-04-22,251.58,paid
PAY00000327,C000022,2024-05-22,241.53,paid
PAY00000328,C000022,2024-06-22,247.03,paid
PAY00000329,C000022,2024-07-22,253.15,paid
PAY00000330,C000022,2024-08-22,241.45,paid
PAY00000331,C000022,2024-09-22,250.77,failed
PAY00000332,C000022,2024-10-22,236.69,paid
PAY00000333,C000022,2024-11-22,245.91,paid
PAY00000334,C000022,2024-12-22,254.31,paid
PAY00000335,C000022,2025-01-22,251.05,paid
PAY00000336,C000022,2025-02-22,254.76,paid
PAY00000337,C000022,2025-03-22,231.03,paid
PAY00000338,C000022,2025-04-22,232.59,paid
PAY00000339,C000022,2025-05-22,246.15,paid
PAY00000340,C000022,2025-06-22,241.97,paid
PAY00000341,C000022,2025-07-22,246.46,failed
PAY00000342,C000022,2025-08-22,253.49,paid
PAY00000343,C000023,2022-10-09,179.17,paid
PAY00000344,C000023,2022-11-09,181.49,paid
PAY00000345,C000023,2022-12-09,169.98,paid
PAY00000346,C000023,2023-01-09,164.39,paid
PAY00000347,C000023,2023-02-09,165.09,paid
PAY00000348,C000023,2023-03-09,163.36,paid
PAY00000349,C000023,2023-04-09,166.54,paid
PAY00000350,C000023,2023-05-09,176.1,paid
PAY00000351,C000023,2023-06-09,174.04,paid
PAY00000352,C000023,2023-07-09,179.19,paid
PAY00000353,C000023,2023-08-09,174.34,paid
PAY00000354,C000023,2023-09-09,171.63,paid
PAY00000355,C000023,2023-10-09,169.97,paid
PAY00000356,C000023,2023-11-09,178.42,paid
PAY00000357,C000023,2023-12-09,161.99,paid
PAY00000358,C000023,2024-01-09,166.85,paid
PAY00000359,C000023,2024-02-09,175.11,paid
PAY00000360,C000023,2024-03-09,170.4,paid
PAY00000361,C000023,2024-04-09,175.91,paid
PAY00000362,C000023,2024-05-09,175.4,paid
PAY00000363,C000023,2024-06-09,174.85,paid
PAY00000364,C000023,2024-07-09,174.6,paid
PAY00000365,C000023,2024-08-09,176.39,paid
PAY00000366,C000023,2024-09-09,176.39,paid
PAY00000367,C000023,2024-10-09,172.15,paid
PAY00000368,C000023,2024-11-09,170.97,paid
PAY00000369,C000023,2024-12-09,173.68,paid
PAY00000370,C000023,2025-01-09,177.69,failed
PAY00000371,C000023,2025-02-09,168.63,failed
PAY00000372,C000023,2025-03-09,171.31,paid
PAY00000373,C000024,2025-11-23,1511.08,paid
PAY00000374,C000025,2025-04-11,451.63,paid
PAY00000375,C000025,2025-05-11,446.54,paid
PAY00000376,C000025,2025-06-11,452.65,paid
PAY00000377,C000025,2025-07-11,442.46,paid
PAY00000378,C000025,2025-08-11,441.02,paid
PAY00000379,C000025,2025-09-11,478.22,paid
PAY00000380,C000025,2025-10-11,445.39,paid
PAY00000381,C000025,2025-11-11,465.04,paid
PAY00000382,C000025,2025-12-11,482.78,paid
PAY00000383,C000025,2026-01-11,471.52,paid
PAY00000384,C000025,2026-02-11,464.54,paid
PAY00000385,C000026,2024-09-10,137.43,paid
PAY00000386,C000026,2024-10-10,133.06,paid
PAY00000387,C000026,2024-11-10,138.95,paid
PAY00000388,C000026,2024-12-10,141.23,paid
PAY00000389,C000026,2025-01-10,133.67,paid
PAY00000390,C000026,2025-02-10,129.75,paid
PAY00000391,C000026,2025-03-10,138.03,paid
PAY00000392,C000026,2025-04-10,143.45,paid
PAY00000393,C000026,2025-05-10,131.48,paid
PAY00000394,C000026,2025-06-10,126.64,paid
PAY00000395,C000026,2025-07-10,134.26,paid
PAY00000396,C000026,2025-08-10,132.82,paid
PAY00000397,C000026,2025-09-10,135.57,paid
PAY00000398,C000026,2025-10-10,132.3,failed
PAY00000399,C000026,2025-11-10,134.14,paid
PAY00000400,C000026,2025-12-10,131.25,paid
PAY00000401,C000027,2023-09-10,35719.4,paid
PAY00000402,C000027,2024-09-10,37514.96,paid
PAY00000403,C000027,2025-09-10,38269.15,paid
PAY00000404,C000028,2025-06-11,692.66,paid
PAY00000405,C000028,2025-09-11,757.61,paid
PAY00000406,C000028,2025-12-11,725.18,failed
PAY00000407,C000029,2024-04-17,456.28,paid
PAY00000408,C000029,2024-07-17,478.63,paid
PAY00000409,C000029,2024-10-17,473.83,paid
PAY00000410,C000029,2025-01-17,469.89,paid
PAY00000411,C000029,2025-04-17,464.37,paid
PAY00000412,C000029,2025-07-17,456.6,paid
PAY00000413,C000029,2025-10-17,466.94,failed
PAY00000414,C000030,2023-11-10,332.48,paid
PAY00000415,C000030,2024-02-10,342.18,paid
PAY00000416,C000030,2024-05-10,335.76,paid
PAY00000417,C000030,2024-08-10,328.48,paid
PAY00000418,C000030,2024-11-10,328.34,paid
PAY00000419,C000030,2025-02-10,324.59,paid
PAY00000420,C000030,2025-05-10,332.95,failed
PAY00000421,C000030,2025-08-10,327.35,paid
PAY00000422,C000030,2025-11-10,320.97,paid
PAY00000423,C000030,2026-02-10,338.42,paid
PAY00000424,C000031,2023-11-30,108.44,paid
PAY00000425,C000031,2023-12-30,109.23,paid
PAY00000426,C000031,2024-01-30,114.3,paid
PAY00000427,C000031,2024-02-29,112.84,paid
PAY00000428,C000031,2024-03-29,111.45,paid
PAY00000429,C000031,2024-04-29,110.53,paid
PAY00000430,C000031,2024-05-29,115.04,paid
PAY00000431,C000031,2024-06-29,109.32,paid
PAY00000432,C000031,2024-07-29,107.86,paid
PAY00000433,C000031,2024-08-29,113.61,paid
PAY00000434,C000031,2024-09-29,111.45,paid
PAY00000435,C000031,2024-10-29,107.3,paid
PAY00000436,C000031,2024-11-29,111.46,paid
PAY00000437,C000031,2024-12-29,105.83,paid
PAY00000438,C000031,2025-01-29,112.93,paid
PAY00000439,C000031,2025-02-28,110.65,paid
PAY00000440,C000031,2025-03-28,111.07,paid
PAY00000441,C000031,2025-04-28,111.26,paid
PAY00000442,C000031,2025-05-28,111.42,paid
PAY00000443,C000031,2025-06-28,109.81,paid
PAY00000444,C000031,2025-07-28,110.1,paid
PAY00000445,C000031,2025-08-28,108.67,paid
PAY00000446,C000031,2025-09-28,110.54,paid
PAY00000447,C000031,2025-10-28,109.82,paid
PAY00000448,C000031,2025-11-28,110.27,failed
PAY00000449,C000031,2025-12-28,106.36,failed
PAY00000450,C000032,2022-12-16,1484.31,failed
PAY00000451,C000032,2023-01-16,1426.4,paid
PAY00000452,C000032,2023-02-16,1502.41,paid
PAY00000453,C000032,2023-03-16,1467.3,paid
PAY00000454,C000032,2023-04-16,1442.42,paid
PAY00000455,C000032,2023-05-16,1516.35,paid
PAY00000456,C000032,2023-06-16,1470.47,paid
PAY00000457,C000032,2023-07-16,1484.37,paid
PAY00000458,C000032,2023-08-16,1522.61,paid
PAY00000459,C000032,2023-09-16,1539.8,paid
PAY00000460,C000032,2023-10-16,1491.83,paid
PAY00000461,C000032,2023-11-16,1549.06,paid
PAY00000462,C000032,2023-12-16,1559.71,paid
PAY00000463,C000032,2024-01-16,1504.47,paid
PAY00000464,C000032,2024-02-16,1504.4,paid
PAY00000465,C000032,2024-03-16,1482.33,paid
PAY00000466,C000032,2024-04-16,1513.48,paid
PAY00000467,C000032,2024-05-16,1540.02,paid
PAY00000468,C000032,2024-06-16,1556.43,paid
PAY00000469,C000032,2024-07-16,1471.99,paid
PAY00000470,C000032,2024-08-16,1507.01,paid
PAY00000471,C000032,2024-09-16,1532.32,paid
PAY00000472,C000032,2024-10-16,1443.94,paid
PAY00000473,C000032,2024-11-16,1399.76,failed
PAY00000474,C000032,2024-12-16,1505.42,paid
PAY00000475,C000032,2025-01-16,1565.0,paid
PAY00000476,C000032,2025-02-16,1473.09,paid
PAY00000477,C000032,2025-03-16,1467.94,paid
PAY00000478,C000032,2025-04-16,1474.95,paid
PAY00000479,C000032,2025-05-16,1475.35,paid
PAY00000480,C000032,2025-06-16,1521.85,paid
PAY00000481,C000032,2025-07-16,1425.36,paid
PAY00000482,C000032,2025-08-16,1518.93,paid
PAY00000483,C000032,2025-09-16,1494.17,paid
PAY00000484,C000032,2025-10-16,1454.85,paid
PAY00000485,C000032,2025-11-16,1528.85,paid
PAY00000486,C000032,2025-12-16,1521.09,paid
PAY00000487,C000032,2026-01-16,1478.21,paid
PAY00000488,C000032,2026-02-16,1431.68,paid
PAY00000489,C000033,2022-05-27,5285.16,paid
PAY00000490,C000033,2023-05-27,5377.96,paid
PAY00000491,C000033,2024-05-27,4949.34,paid
PAY00000492,C000033,2025-05-27,5085.44,paid
PAY00000493,C000034,2024-04-22,104.15,paid
PAY00000494,C000034,2024-05-22,112.4,paid
PAY00000495,C000034,2024-06-22,109.77,paid
PAY00000496,C000034,2024-07-22,109.09,paid
PAY00000497,C000034,2024-08-22,112.19,paid
PAY00000498,C000034,2024-09-22,108.66,paid
PAY00000499,C000034,2024-10-22,112.25,paid
PAY00000500,C000034,2024-11-22,106.97,paid
PAY00000501,C000034,2024-12-22,110.18,paid
PAY00000502,C000034,2025-01-22,112.77,paid
PAY00000503,C000034,2025-02-22,105.98,paid
PAY00000504,C000034,2025-03-22,107.99,paid
PAY00000505,C000034,2025-04-22,109.08,paid
PAY00000506,C000034,2025-05-22,115.15,paid
PAY00000507,C000034,2025-06-22,111.02,paid
PAY00000508,C000034,2025-07-22,106.55,paid
PAY00000509,C000034,2025-08-22,115.71,paid
PAY00000510,C000034,2025-09-22,114.83,paid
PAY00000511,C000034,2025-10-22,110.79,paid
PAY00000512,C000034,2025-11-22,116.69,failed
PAY00000513,C000034,2025-12-22,108.47,paid
PAY00000514,C000034,2026-01-22,109.44,paid
PAY00000515,C000035,2025-09-18,381.01,paid
PAY00000516,C000035,2025-12-18,397.65,paid
PAY00000517,C000036,2022-04-20,422.75,paid
PAY00000518,C000036,2022-05-20,412.29,paid
PAY00000519,C000036,2022-06-20,392.4,paid
PAY00000520,C000036,2022-07-20,395.73,paid
PAY00000521,C000036,2022-08-20,378.41,paid
PAY00000522,C000036,2022-09-20,410.85,paid
PAY00000523,C000036,2022-10-20,392.08,paid
PAY00000524,C000036,2022-11-20,401.18,paid
PAY00000525,C000036,2022-12-20,385.28,paid
PAY00000526,C000036,2023-01-20,398.45,paid
PAY00000527,C000036,2023-02-20,403.51,paid
PAY00000528,C000036,2023-03-20,404.01,paid
PAY00000529,C000036,2023-04-20,407.4,paid
PAY00000530,C000036,2023-05-20,417.38,paid
PAY00000531,C000036,2023-06-20,413.01,paid
PAY00000532,C000036,2023-07-20,412.03,paid
PAY00000533,C000036,2023-08-20,410.29,paid
PAY00000534,C000036,2023-09-20,404.13,failed
PAY00000535,C000036,2023-10-20,401.34,paid
PAY00000536,C000036,2023-11-20,413.64,paid
PAY00000537,C000036,2023-12-20,380.45,paid
PAY00000538,C000036,2024-01-20,410.69,paid
PAY00000539,C000036,2024-02-20,394.4,paid
PAY00000540,C000036,2024-03-20,408.29,paid
PAY00000541,C000036,2024-04-20,404.33,paid
PAY00000542,C000036,2024-05-20,406.6,paid
PAY00000543,C000036,2024-06-20,415.28,paid
PAY00000544,C000036,2024-07-20,395.06,paid
PAY00000545,C000036,2024-08-20,394.07,paid
PAY00000546,C000036,2024-09-20,405.29,paid
PAY00000547,C000036,2024-10-20,396.0,paid
PAY00000548,C000036,2024-11-20,387.04,paid
PAY00000549,C000036,2024-12-20,390.71,paid
PAY00000550,C000036,2025-01-20,425.09,failed
PAY00000551,C000036,2025-02-20,403.41,paid
PAY00000552,C000036,2025-03-20,408.59,paid
PAY00000553,C000036,2025-04-20,400.33,paid
PAY00000554,C000036,2025-05-20,414.1,paid
PAY00000555,C000036,2025-06-20,380.54,paid
